ns,path,pollution_type,ko_value,ja_value,en_value,ko_length,suggested_ko
actualPaid,actualPaid,LATIN_LONG,Actual Paid,,Actual Paid,11,
adCreative,adCreative,LATIN_LONG,Ad Creative,,Ad Creative,11,
adReady,adReady,LATIN_LONG,Ad Ready,,Ad Ready,8,
attr,attr.anomalySummary,LATIN_LONG,📊 Anomaly Detection Summary,📊 Anomaly Detection Summary,📊 Anomaly Detection Summary,28,
attr,attr.expectedBlendRoas,LATIN_LONG,Expected Blended ROAS,Expected Blended ROAS,Expected Blended ROAS,21,
attr,attr.modelCompareTable,LATIN_LONG,📋 Channel Contribution by Model (%),📋 Channel Contribution by Model (%),📋 Channel Contribution by Model (%),36,
attr,attr.radarCompare,LATIN_LONG,🕸️ Channel Contribution Radar,🕸️ Channel Contribution Radar,🕸️ Channel Contribution Radar,30,
attrData,attrData.cases,LATIN_LONG, items, items, items,6,
banner,banner.acctPerf.desc,LATIN_LONG,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,115,
banner,banner.acctPerf.team,LATIN_LONG,Team / Account,Team / Account,Team / Account,14,
checkRights,checkRights,LATIN_LONG,Check Rights,,Check Rights,12,
commerce,commerce.top5Sku,LATIN_LONG,TOP 5 SKU,TOP 5 SKU,TOP 5 SKU,9,
common,common.underConstruction,LATIN_LONG,CampaignEnterpriseTabs,,,22,
crm,crm.aiHub.aiHub.autoExec,LATIN_LONG,Auto Exec,Auto Exec,Auto Exec,9,
crm,crm.aiHub.aiHub.countUnit,LATIN_LONG,Count Unit,Count Unit,Count Unit,10,
crm,crm.aiHub.aiHub.expectedProfit,LATIN_LONG,Expected Profit,Expected Profit,Expected Profit,15,
crm,crm.aiHub.aiPolicy.badgeRealtime,LATIN_LONG,Badge Realtime,Badge Realtime,Badge Realtime,14,
crm,crm.aiHub.aiPolicy.badgeRules,LATIN_LONG,Badge Rules,Badge Rules,Badge Rules,11,
crm,crm.aiHub.aiPolicy.badgeSecurity,LATIN_LONG,Badge Security,Badge Security,Badge Security,14,
crm,crm.aiHub.aiPolicy.cfgApprovalGate,LATIN_LONG,Cfg Approval Gate,Cfg Approval Gate,Cfg Approval Gate,17,
crm,crm.aiHub.aiPolicy.crossTabSync,LATIN_LONG,Cross Sync,Cross Sync,Cross Sync,10,
crm,crm.aiHub.aiPolicy.firedTotal,LATIN_LONG,Fired Total,Fired Total,Fired Total,11,
crm,crm.aiHub.aiPolicy.noPolicies,LATIN_LONG,No Policies,No Policies,No Policies,11,
crm,crm.aiHub.aiPolicy.policyName,LATIN_LONG,Policy Name,Policy Name,Policy Name,11,
crm,crm.aiHub.aiPolicy.secCode,LATIN_LONG,Sec Code,Sec Code,Sec Code,8,
crm,crm.aiHub.aiPolicy.secTitle,LATIN_LONG,Sec Title,Sec Title,Sec Title,9,
crm,crm.aiHub.aiPolicy.secUnlock,LATIN_LONG,Sec Unlock,Sec Unlock,Sec Unlock,10,
crm,crm.aiHub.aiPolicy.syncActiveRules,LATIN_LONG,Sync Active Rules,Sync Active Rules,Sync Active Rules,17,
crm,crm.aiHub.aiPolicy.syncBudgets,LATIN_LONG,Sync Budgets,Sync Budgets,Sync Budgets,12,
crm,crm.aiHub.aiPolicy.syncInventory,LATIN_LONG,Sync Inventory,Sync Inventory,Sync Inventory,14,
crm,crm.aiHub.aiPolicy.syncOrders,LATIN_LONG,Sync Orders,Sync Orders,Sync Orders,11,
crm,crm.aiHub.aiPolicy.totalAudit,LATIN_LONG,Total Audit,Total Audit,Total Audit,11,
crm,crm.aiHub.attributionDesc,LATIN_LONG,Attribution Desc,Attribution Desc,Attribution Desc,16,
crm,crm.aiHub.catalogSync.devHub.rateLimits,LATIN_LONG,Rate Limits,Rate Limits,Rate Limits,11,
crm,crm.aiHub.catalogSync.devHub.tab_webhook,LATIN_LONG,⚡ Webhook,⚡ Webhook,⚡ Webhook,9,
crm,crm.aiHub.catalogSync.ds.pipeCollect,LATIN_LONG,Data Collection,Data Collection,Data Collection,15,
crm,crm.aiHub.catalogSync.ds.pipeNormalize,LATIN_LONG,Normalization/Mapping,Normalization/Mapping,Normalization/Mapping,21,
crm,crm.aiHub.catalogSync.ihub.secLockDesc,LATIN_LONG,Module locked due to abnormal access.,Module locked due to abnormal access.,Module locked due to abnormal access.,37,
crm,crm.aiHub.catalogSync.journey.connectedChannels,LATIN_LONG,Connected Channels,Connected Channels,Connected Channels,18,
crm,crm.aiHub.catalogSync.journey.guideNodeAbTest,LATIN_LONG,Guide Node Ab Test,Guide Node Ab Test,Guide Node Ab Test,18,
crm,crm.aiHub.catalogSync.journey.guideNodeCondition,LATIN_LONG,Guide Node Condition,Guide Node Condition,Guide Node Condition,20,
crm,crm.aiHub.catalogSync.journey.guideNodeDelay,LATIN_LONG,Guide Node Delay,Guide Node Delay,Guide Node Delay,16,
crm,crm.aiHub.catalogSync.journey.guideNodeEmail,LATIN_LONG,Guide Node Email,Guide Node Email,Guide Node Email,16,
crm,crm.aiHub.catalogSync.journey.guideNodeEnd,LATIN_LONG,Guide Node End,Guide Node End,Guide Node End,14,
crm,crm.aiHub.catalogSync.journey.guideNodeKakao,LATIN_LONG,Guide Node Kakao,Guide Node Kakao,Guide Node Kakao,16,
crm,crm.aiHub.catalogSync.journey.guideNodeLine,LATIN_LONG,Guide Node Line,Guide Node Line,Guide Node Line,15,
crm,crm.aiHub.catalogSync.journey.guideNodePush,LATIN_LONG,Guide Node Push,Guide Node Push,Guide Node Push,15,
crm,crm.aiHub.catalogSync.journey.guideNodeSms,LATIN_LONG,Guide Node Sms,Guide Node Sms,Guide Node Sms,14,
crm,crm.aiHub.catalogSync.journey.guideNodeTrigger,LATIN_LONG,Guide Node Trigger,Guide Node Trigger,Guide Node Trigger,18,
crm,crm.aiHub.catalogSync.journey.guideNodeWebhook,LATIN_LONG,Guide Node Webhook,Guide Node Webhook,Guide Node Webhook,18,
crm,crm.aiHub.catalogSync.journey.guideNodeWhatsapp,LATIN_LONG,Guide Node Whatsapp,Guide Node Whatsapp,Guide Node Whatsapp,19,
crm,crm.aiHub.catalogSync.journey.nodeTypes.ab_test,LATIN_LONG,Ab test,Ab test,Ab test,7,
crm,crm.aiHub.catalogSync.journey.triggerTypes.cart_abandoned,LATIN_LONG,Cart abandoned,Cart abandoned,Cart abandoned,14,
crm,crm.aiHub.catalogSync.journey.triggerTypes.segment_entered,LATIN_LONG,Segment entered,Segment entered,Segment entered,15,
crm,crm.aiHub.catalogSync.journey.triggerTypes.webhook_trigger,LATIN_LONG,Webhook trigger,Webhook trigger,Webhook trigger,15,
crm,crm.aiHub.catalogSync.pxl.channelAttr,LATIN_LONG,Channel Attr,Channel Attr,Channel Attr,12,
crm,crm.aiHub.catalogSync.pxl.convRate,LATIN_LONG,Conv Rate,Conv Rate,Conv Rate,9,
crm,crm.aiHub.catalogSync.pxl.createError,LATIN_LONG,Create Error,Create Error,Create Error,12,
crm,crm.aiHub.catalogSync.pxl.createSuccess,LATIN_LONG,Create Success,Create Success,Create Success,14,
crm,crm.aiHub.catalogSync.pxl.deleteConfirm,LATIN_LONG,Delete Confirm,Delete Confirm,Delete Confirm,14,
crm,crm.aiHub.catalogSync.pxl.eventType,LATIN_LONG,Event Type,Event Type,Event Type,10,
crm,crm.aiHub.catalogSync.pxl.funnelCart,LATIN_LONG,Funnel Cart,Funnel Cart,Funnel Cart,11,
crm,crm.aiHub.catalogSync.pxl.funnelCheckout,LATIN_LONG,Funnel Checkout,Funnel Checkout,Funnel Checkout,15,
crm,crm.aiHub.catalogSync.pxl.funnelProduct,LATIN_LONG,Funnel Product,Funnel Product,Funnel Product,14,
crm,crm.aiHub.catalogSync.pxl.funnelPurchase,LATIN_LONG,Funnel Purchase,Funnel Purchase,Funnel Purchase,15,
crm,crm.aiHub.catalogSync.pxl.funnelTitle,LATIN_LONG,Funnel Title,Funnel Title,Funnel Title,12,
crm,crm.aiHub.catalogSync.pxl.funnelVisit,LATIN_LONG,Funnel Visit,Funnel Visit,Funnel Visit,12,
crm,crm.aiHub.catalogSync.pxl.metaCAPIToken,LATIN_LONG,Meta C A P I Token,Meta C A P I Token,Meta C A P I Token,18,
crm,crm.aiHub.catalogSync.pxl.metaForward,LATIN_LONG,Meta Forward,Meta Forward,Meta Forward,12,
crm,crm.aiHub.catalogSync.pxl.noChannelData,LATIN_LONG,No Channel Data,No Channel Data,No Channel Data,15,
crm,crm.aiHub.catalogSync.pxl.noDataDesc,LATIN_LONG,No Data,No Data,No Data,7,
crm,crm.aiHub.catalogSync.pxl.noDataTitle,LATIN_LONG,No Data Title,No Data Title,No Data Title,13,
crm,crm.aiHub.catalogSync.pxl.noEvents,LATIN_LONG,No Events,No Events,No Events,9,
crm,crm.aiHub.catalogSync.pxl.noPixels,LATIN_LONG,No Pixels,No Pixels,No Pixels,9,
crm,crm.aiHub.catalogSync.pxl.pixelList,LATIN_LONG,Pixel List,Pixel List,Pixel List,10,
crm,crm.aiHub.catalogSync.pxl.pixelName,LATIN_LONG,Pixel Name,Pixel Name,Pixel Name,10,
crm,crm.aiHub.catalogSync.pxl.pixelNamePh,LATIN_LONG,Pixel Name Ph,Pixel Name Ph,Pixel Name Ph,13,
crm,crm.aiHub.catalogSync.pxl.realtimeStream,LATIN_LONG,Realtime Stream,Realtime Stream,Realtime Stream,15,
crm,crm.aiHub.catalogSync.pxl.secAlert,LATIN_LONG,Sec Alert,Sec Alert,Sec Alert,9,
crm,crm.aiHub.catalogSync.pxl.secBlocked,LATIN_LONG,Sec Blocked,Sec Blocked,Sec Blocked,11,
crm,crm.aiHub.catalogSync.pxl.secInputBlocked,LATIN_LONG,Sec Input Blocked,Sec Input Blocked,Sec Input Blocked,17,
crm,crm.aiHub.catalogSync.pxl.secLockWait,LATIN_LONG,Sec Lock Wait,Sec Lock Wait,Sec Lock Wait,13,
crm,crm.aiHub.catalogSync.pxl.secTotal,LATIN_LONG,Sec Total,Sec Total,Sec Total,9,
crm,crm.aiHub.catalogSync.pxl.sendEvent,LATIN_LONG,Send Event,Send Event,Send Event,10,
crm,crm.aiHub.catalogSync.pxl.serverSideCAPI,LATIN_LONG,Server Side C A P I,Server Side C A P I,Server Side C A P I,19,
crm,crm.aiHub.catalogSync.pxl.serverSideEvent,LATIN_LONG,Server Side Event,Server Side Event,Server Side Event,17,
crm,crm.aiHub.catalogSync.pxl.snippetGuide1,LATIN_LONG,Snippet Guide1,Snippet Guide1,Snippet Guide1,14,
crm,crm.aiHub.catalogSync.pxl.snippetGuide2,LATIN_LONG,Snippet Guide2,Snippet Guide2,Snippet Guide2,14,
crm,crm.aiHub.catalogSync.pxl.snippetGuide3,LATIN_LONG,Snippet Guide3,Snippet Guide3,Snippet Guide3,14,
crm,crm.aiHub.catalogSync.pxl.snippetTitle,LATIN_LONG,Snippet Title,Snippet Title,Snippet Title,13,
crm,crm.aiHub.catalogSync.pxl.testEventSend,LATIN_LONG,Test Event Send,Test Event Send,Test Event Send,15,
crm,crm.aiHub.catalogSync.pxl.tiktokForward,LATIN_LONG,Tiktok Forward,Tiktok Forward,Tiktok Forward,14,
crm,crm.aiHub.catalogSync.pxl.totalEvents,LATIN_LONG,Total Events,Total Events,Total Events,12,
crm,crm.aiHub.catalogSync.security.hackDetected,LATIN_LONG,Hack Detected,Hack Detected,Hack Detected,13,
crm,crm.aiHub.channelFeeRate,LATIN_LONG,Fee Rate,Fee Rate,Fee Rate,8,
crm,crm.aiHub.creativeSub,LATIN_LONG,Enter a prompt and AI generates campaign ad designs.,Enter a prompt and AI generates campaign ad designs.,Enter a prompt and AI generates campaign ad designs.,52,
crm,crm.aiHub.creativeTitle,LATIN_LONG,AI Ad Creative Generator,AI Ad Creative Generator,AI Ad Creative Generator,24,
crm,crm.aiHub.dataSource,LATIN_LONG,Data Basis,Data Basis,Data Basis,10,
