ja_value,proposed_ko,source,batch
 ✅ 即時デプロイ推奨, ✅ 즉시 배포 추천,b8_batch,06
 タグ内に貼り付けてください。, 태그 안에 붙여넣어주세요.,b8_batch,01
 🟡 追加データ収集推奨, 🟡 추가 데이터 수집 추천,b8_batch,06
'+追加'ボタンで控除項目を登録してください,'+ 추가' 버튼으로 공제 항목을 등록해주세요,b8_batch,01
(-) インフルエンサー,(-) 인플루언서,b8_batch,01
(-) プラットフォーム料金,(-) 플랫폼 수수료,b8_batch,01
* 直近30日実績基準のシミュレーション — 控除項目変更時のKPI影響度推定,* 최근 30일 실적 기준 시뮬레이션 — 공제 항목 변경 시 KPI 영향도 추정,b8_batch,01
+ インポート,+ 가져오기,top500_fallback,T500
+ チャネル追加,+ 채널 추가,b8_batch,01
+ マーケティングキャンペーン作成,+ 마케팅 캠페인 생성,b8_batch,08
+ 新規キャンペーン作成,+ 새 캠페인 생성,b8_batch,08
+ 新規ジャーニー,+ 신규 여정,b8_batch,01
+ 新規スケジュール,+ 신규 스케줄,b8_batch,01
1. 目標・チャネル (Goals),1. 목표·채널 (Goals),b8_batch,06
100+システム統合対応,100개 이상 시스템 통합 지원,top500_fallback,T500
"100,000以上入力してください","100,000 이상 입력해주세요",b8_batch,08
11カテゴリ（美容、ファッション、食品など）から選択します。複数選択でクロス分析が可能になり精度が向上します。,"11개 카테고리(뷰티, 패션, 식품 등) 중에서 선택합니다. 여러 개를 선택하면 크로스 분석이 가능해져 정확도가 높아집니다.",b8_batch,08
12時間ごと,12시간마다,top500_fallback,T500
13チャネル APIキー登録・テスト・同期,13개 채널 API 키 등록·테스트·동기화,b8_batch,06
14日ごとにクリエイティブ更新,14일마다 크리에이티브 업데이트,b8_batch,08
15分ごと,15분마다,b8_batch,01
15～60秒ショート動画の自動制作,15~60초 숏폼 동영상 자동 제작,b8_batch,08
1PLあたりボックス数 *,1PL당 박스 수 *,b8_batch,01
1st-Partyピクセル+データ,1st-Party 픽셀 + 데이터,b8_batch,06
1st-Partyピクセル・APIキー — Pro以上,1st-Party 픽셀·API 키 — Pro 이상,b8_batch,06
1st-Partyピクセル・SDK,1st-Party 픽셀·SDK,b8_batch,06
1★のネガティブレビューを自動エスカレーション,1★ 부정 리뷰 자동 에스컬레이션,b8_batch,01
1ボックスあたり数量 (ea) *,박스당 수량 (ea) *,b8_batch,01
1件あたりコスト,건당 비용,b8_batch,06
1件ずつ即時送信,1건씩 즉시 발송,b8_batch,01
1回のみ購入、60日以上非活動,1회 구매 후 60일 이상 비활동,b8_batch,01
1時間ごと,1시간마다,top500_fallback,T500
20項目KPI貢献度スコアリング,20개 KPI 기여도 스코어링,top500_fallback,T500
2^n精密Shapley貢献度を計算中…,2^n 정밀 Shapley 기여도 계산 중…,b8_batch,06
2^n精密貢献度、シナジー分析、予算推奨を提供。,"2^n 정밀 기여도, 시너지 분석, 예산 추천을 제공합니다.",b8_batch,06
2つ以上のポップアップバリアントを登録するとA/Bテストが自動実行されます。,팝업 변형을 2개 이상 등록하면 A/B 테스트가 자동 실행됩니다.,b8_batch,01
2つ以上選択してください,2개 이상 선택해주세요,b8_batch,08
2つ以上選択して比較,2개 이상 선택하여 비교,b8_batch,08
2グループに分けて比較します。,2개 그룹으로 나누어 비교합니다.,b8_batch,01
2段階承認キュー,2단계 승인 대기열,b8_batch,01
2週間以上の素材は広告疲労が上昇します。新しいクリエイティブに交換してください。,2주 이상 사용한 소재는 광고 피로도가 높아집니다. 새 크리에이티브로 교체해주세요.,b8_batch,08
30分ごと,30분마다,top500_fallback,T500
30秒以上操作なし時,30초 이상 작업이 없을 때,b8_batch,01
30秒以上非活動時にポップアップ表示,30초 이상 비활동 시 팝업 표시,b8_batch,01
30秒後に自動解除されます,30초 후 자동 해제됩니다,b8_batch,01
3PL、サプライチェーン、返品、アジア、アラート。,3PL·공급망·반품·아시아·알림.,top500_fallback,T500
3PLパートナー登録,3PL 파트너 등록,top500_fallback,T500
