ko_value,suggested_ko,count,path_sample,source
days,일,8,crm.aiHub.reviews.days,top500
No Data Available,데이터 없음,8,crm.aiHub.reviews.noData,top500
No execution history,실행 이력 없음,8,crm.aiHub.reviews.noHistory,top500
Tab Roles,역할 탭,8,crm.aiHub.reviews.tabRoles,top500
Unit Price,단가,7,crm.aiHub.aiHub.unitPrice,top500
AI Analysis History,AI 분석 이력,7,crm.aiHub.reviews.aiHistoryList,top500
AI Analysis Summary,AI 분석 요약,7,crm.aiHub.reviews.aiSummary,top500
Avg Time,평균 시간,7,crm.aiHub.reviews.avgTime,top500
Biz Goal Setting,비즈니스 목표 설정,7,crm.aiHub.reviews.bizGoalSetting,top500
Brand Awareness Desc,브랜드 인지도 안내,7,crm.aiHub.reviews.brandAwarenessDesc,top500
Channel Role Definition,채널 역할 정의,7,crm.aiHub.reviews.channelRoleDef,top500
Key Action Items,핵심 액션 아이템,7,crm.aiHub.reviews.checklist,top500
Cost vs Performance Check,비용 대비 성과 점검,7,crm.aiHub.reviews.chkCostPerf,top500
Campaign Efficiency Check,캠페인 효율 점검,7,crm.aiHub.reviews.chkEff,top500
Identify Items for Improvement,개선 항목 파악,7,crm.aiHub.reviews.chkImprove,top500
Claude Ai Desc,Claude AI 안내,7,crm.aiHub.reviews.claudeAiDesc,top500
Claude Ai Title,Claude AI 제목,7,crm.aiHub.reviews.claudeAiTitle,top500
Click Select,클릭하여 선택,7,crm.aiHub.reviews.clickSelect,top500
Community Act,커뮤니티 활동,7,crm.aiHub.reviews.communityAct,top500
Community Growth,커뮤니티 성장,7,crm.aiHub.reviews.communityGrowth,top500
Community Kpi,커뮤니티 KPI,7,crm.aiHub.reviews.communityKpi,top500
Content Engage,콘텐츠 참여,7,crm.aiHub.reviews.contentEngage,top500
Content Impressions,콘텐츠 노출 수,7,crm.aiHub.reviews.contentImpressions,top500
Content Interest,콘텐츠 관심도,7,crm.aiHub.reviews.contentInterest,top500
Content Kpi,콘텐츠 KPI,7,crm.aiHub.reviews.contentKpi,top500
Large-scale brand exposure through SNS platform ads,SNS 플랫폼 광고를 통한 대규모 브랜드 노출,7,crm.aiHub.reviews.descBrandReach,top500
Target users with high purchase intent via search algorithms,검색 알고리즘을 활용한 구매 의도 높은 사용자 타겟팅,7,crm.aiHub.reviews.descCaptureIntent,top500
