path,ko_current,ja_value,proposed_ko,source,ns
ruleEnginePage.supplyChain.pageTitle,サプライチェーン可視性,サプライチェーン可視性,공급망 가시성,b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.pageSub,サプライヤー → 生産 → 出荷 → 通関 → 入庫 → 出庫の全フロー リアルタイム追跡、リードタイム自動計算、供給リスク検知,サプライヤー → 生産 → 出荷 → 通関 → 入庫 → 出庫の全フロー リアルタイム追跡、リードタイム自動計算、供給リスク検知,"공급사 → 생산 → 출하 → 통관 → 입고 → 출고 전체 흐름을 실시간 추적하고, 리드타임 자동 계산 및 공급 리스크 감지를 지원합니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.tabTimeline,供給タイムライン,供給タイムライン,공급 타임라인,b8_batch_10,ruleEnginePage
ruleEnginePage.supplyChain.tabSuppliers,サプライヤー管理,サプライヤー管理,공급사 관리,b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.tabLeadTime,リードタイム分析,リードタイム分析,리드타임 분석,b8_batch_10,ruleEnginePage
ruleEnginePage.supplyChain.tabRisk,リスク検知,リスク検知,리스크 감지,b8_batch_10,ruleEnginePage
ruleEnginePage.supplyChain.invSupplier,サプライヤー保有,サプライヤー保有,공급사 보유,b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.poSelectSupplier,サプライヤー選択,サプライヤー選択,공급사 선택,b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.lcDesc,商品原価、物流費、関税、保険、ハンドリング費用を含む最終到着原価（Landed Cost）を計算します。,商品原価、物流費、関税、保険、ハンドリング費用を含む最終到着原価（Landed Cost）を計算します。,"상품 원가, 물류비, 관세, 보험, 핸들링 비용을 포함한 최종 도착 원가(Landed Cost)를 계산합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.supplyChain.lcHandling,ハンドリング,ハンドリング,핸들링,b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.lcOther,その他費用,その他費用,기타 비용,b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.guideStep9Desc,全入力フィールドでXSS、SQLインジェクション、パストラバーサルなどのハッキング試行をリアルタイムで検知・ブロックします。,全入力フィールドでXSS、SQLインジェクション、パストラバーサルなどのハッキング試行をリアルタイムで検知・ブロックします。,"모든 입력 필드에서 XSS, SQL 인젝션, 경로 탐색 등 해킹 시도를 실시간으로 감지하고 차단합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.supplyChain.guideStep10Title,データ活用,データ活用,데이터 활용,b8_batch_09,ruleEnginePage
ruleEnginePage.supplyChain.guideStep10Desc,サプライチェーンデータは価格最適化、WMS管理者などの他モジュールとリアルタイム連携されます。,サプライチェーンデータは価格最適化、WMS管理者などの他モジュールとリアルタイム連携されます。,"공급망 데이터는 가격 최적화, WMS 관리자 등 다른 모듈과 실시간으로 연동됩니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.wms.tabInventoryDesc,チャネル別リアルタイム在庫,チャネル別リアルタイム在庫,채널별 실시간 재고,b8_batch_09,ruleEnginePage
