ns,path,pollution_type,ko_value,ja_value,en_value,ko_length,suggested_ko
channelKpi,channelKpi.blendedROAS,LATIN_LONG,Blended ROAS,Blended ROAS,Blended ROAS,12,Blended ROAS
crm,crm.aiHub.aiHub.attribution,LATIN_LONG,Attribution,Attribution,Attribution,11,어트리뷰션
crm,crm.aiHub.aiHub.attributionDesc,LATIN_LONG,Attribution,Attribution,Attribution,11,어트리뷰션
crm,crm.aiHub.aiHub.dataSource,LATIN_LONG,Data Source,Data Source,Data Source,11,데이터 소스
crm,crm.aiHub.aiHub.netPayout,LATIN_LONG,Net Payout,Net Payout,Net Payout,10,Net Payout
crm,crm.aiHub.analyzing,LATIN_LONG,Analyzing...,Analyzing...,Analyzing...,12,분석 중...
crm,crm.aiHub.attribution,LATIN_LONG,Attribution,Attribution,Attribution,11,어트리뷰션
crm,crm.aiHub.catalogSync.pxl.conversions,LATIN_LONG,Conversions,Conversions,Conversions,11,전환
crm,crm.aiHub.catalogSync.pxl.totalRevenue,LATIN_LONG,Total Revenue,Total Revenue,Total Revenue,13,총 매출
crm,crm.aiHub.netPayout,LATIN_LONG,Net Payout,Net Payout,Net Payout,10,Net Payout
crm,crm.aiHub.omniChannel.ordTotalOrders,LATIN_LONG,Total Orders,Total Orders,Total Orders,12,총 주문
crm,crm.aiHub.omniChannel.ovTotalOrders,LATIN_LONG,Total Orders,Total Orders,Total Orders,12,총 주문
crm,crm.aiHub.omniChannel.ovTotalRevenue,LATIN_LONG,Total Revenue,Total Revenue,Total Revenue,13,총 매출
crm,crm.aiHub.reviews.achieved,LATIN_LONG,Achieved ✓,Achieved ✓,Achieved ✓,10,달성 ✓
crm,crm.aiHub.reviews.achievedOk,LATIN_LONG,Achieved ✓,Achieved ✓,Achieved ✓,10,달성 ✓
crm,crm.aiHub.reviews.aiAnalyzing,LATIN_LONG,AI Analyzing...,AI Analyzing...,AI Analyzing...,15,AI 분석 중...
crm,crm.aiHub.reviews.allChannel,LATIN_LONG,Total Channels,Total Channels,Total Channels,14,전체 채널
crm,crm.aiHub.reviews.allChannels,LATIN_LONG,Total Channels,Total Channels,Total Channels,14,전체 채널
crm,crm.aiHub.reviews.badgeAdSpend,LATIN_LONG,Total Ad Spend,Total Ad Spend,Total Ad Spend,14,총 광고 비용
crm,crm.aiHub.reviews.badgeBlendedRoas,LATIN_LONG,Blended ROAS,Blended ROAS,Blended ROAS,12,Blended ROAS
crm,crm.aiHub.reviews.belowTarget,LATIN_LONG,Below Target,Below Target,Below Target,12,목표 미달
crm,crm.aiHub.reviews.brandAwareness,LATIN_LONG,Brand Awareness,Brand Awareness,Brand Awareness,15,브랜드 인지도
crm,crm.aiHub.reviews.cases,LATIN_LONG, orders, orders, orders,7,주문
