ns,path,pollution_type,ko_value,ja_value,en_value,ko_length,suggested_ko
_marketing_1,_marketing_1.sc_tiktok_shop,LATIN_LONG,TikTok Shop,,TikTok Shop,11,TikTok Shop
attr,attr.expectedRev,LATIN_LONG,Expected Revenue,Expected Revenue,Expected Revenue,16,예상 매출
attrData,attrData.guideLtvName,LATIN_LONG,💰 LTV vs CAC,,,13,💰 LTV vs CAC
attrData,attrData.tabLtvLabel,LATIN_LONG,LTV vs CAC,LTV,LTV,10,LTV vs CAC
audit,audit.copyLink,LATIN_LONG,Copy Link,Copy Link,Copy Link,9,링크 복사
audit,audit.deselectAll,LATIN_LONG,Deselect All,Deselect All,Deselect All,12,전체 선택 해제
audit,audit.pageOf,LATIN_LONG,{page} / {total},{page} / {total},{page} / {total},16,{page} / {total}
audit,audit.selectAll,LATIN_LONG,Select All,Select All,Select All,10,전체 선택
catalogSync,catalogSync.ihub.dwFeatureUnity,LATIN_LONG,Unity Catalog,,,13,Unity Catalog
catalogSync,catalogSync.ihub.scTitle,LATIN_LONG,SmartConnect AI,,,15,SmartConnect AI
catalogSync,catalogSync.ihub.tabSmartConnect,LATIN_LONG,Smart Connect,,,13,Smart Connect
catalogSync,catalogSync.webPopup.linkUrlPh,LATIN_LONG,https://example.com/promo,,,25,https://example.com/promo
channelKpi,channelKpi.blendedROAS,LATIN_LONG,Blended ROAS,Blended ROAS,Blended ROAS,12,Blended ROAS
commerce,commerce.topSku,LATIN_LONG,TOP SKU,TOP SKU,TOP SKU,7,TOP SKU
creativeStudio,creativeStudio.ctaHint,LATIN_LONG,👆 CTA,👆 CTA:,👆 CTA:,6,👆 CTA
crm,crm.aiHub.addBudget,LATIN_LONG,Add Budget,Add Budget,Add Budget,10,예산 추가
crm,crm.aiHub.adSaving,LATIN_LONG,Ad Saving,Ad Saving,Ad Saving,9,광고비 절감
crm,crm.aiHub.aiHub.addBudget,LATIN_LONG,Add Budget,Add Budget,Add Budget,10,예산 추가
crm,crm.aiHub.aiHub.adSaving,LATIN_LONG,Ad Saving,Ad Saving,Ad Saving,9,광고비 절감
crm,crm.aiHub.aiHub.approveAll,LATIN_LONG,Approve All,Approve All,Approve All,11,전체 승인
