path,ko_current,ja_value,proposed_ko,ns,type
ruleEnginePage.supplyChain.pageTitle,サプライチェーン可視性,サプライチェーン可視性,,ruleEnginePage,string
ruleEnginePage.supplyChain.pageSub,サプライヤー → 生産 → 出荷 → 通関 → 入庫 → 出庫の全フロー リアルタイム追跡、リードタイム自動計算、供給リスク検知,サプライヤー → 生産 → 出荷 → 通関 → 入庫 → 出庫の全フロー リアルタイム追跡、リードタイム自動計算、供給リスク検知,,ruleEnginePage,string
ruleEnginePage.supplyChain.tabTimeline,供給タイムライン,供給タイムライン,,ruleEnginePage,string
ruleEnginePage.supplyChain.tabSuppliers,サプライヤー管理,サプライヤー管理,,ruleEnginePage,string
ruleEnginePage.supplyChain.tabLeadTime,リードタイム分析,リードタイム分析,,ruleEnginePage,string
ruleEnginePage.supplyChain.tabRisk,リスク検知,リスク検知,,ruleEnginePage,string
ruleEnginePage.supplyChain.securityDesc,悪意のある入力が検出され、ブロックされました。,悪意のある入力が検出され、ブロックされました。,,ruleEnginePage,string
ruleEnginePage.supplyChain.addRule,ルール追加,ルール追加,,ruleEnginePage,string
ruleEnginePage.supplyChain.ruleName,ルール名,ルール名,,ruleEnginePage,string
ruleEnginePage.supplyChain.invSupplier,サプライヤー保有,サプライヤー保有,,ruleEnginePage,string
ruleEnginePage.supplyChain.poSelectSupplier,サプライヤー選択,サプライヤー選択,,ruleEnginePage,string
ruleEnginePage.supplyChain.lcDesc,商品原価、物流費、関税、保険、ハンドリング費用を含む最終到着原価（Landed Cost）を計算します。,商品原価、物流費、関税、保険、ハンドリング費用を含む最終到着原価（Landed Cost）を計算します。,,ruleEnginePage,string
ruleEnginePage.supplyChain.lcHandling,ハンドリング,ハンドリング,,ruleEnginePage,string
ruleEnginePage.supplyChain.lcOther,その他費用,その他費用,,ruleEnginePage,string
ruleEnginePage.supplyChain.guideStep9Title,セキュリティ監視,セキュリティ監視,,ruleEnginePage,string
ruleEnginePage.supplyChain.guideStep9Desc,全入力フィールドでXSS、SQLインジェクション、パストラバーサルなどのハッキング試行をリアルタイムで検知・ブロックします。,全入力フィールドでXSS、SQLインジェクション、パストラバーサルなどのハッキング試行をリアルタイムで検知・ブロックします。,,ruleEnginePage,string
ruleEnginePage.supplyChain.guideStep10Title,データ活用,データ活用,,ruleEnginePage,string
ruleEnginePage.supplyChain.guideStep10Desc,サプライチェーンデータは価格最適化、WMS管理者などの他モジュールとリアルタイム連携されます。,サプライチェーンデータは価格最適化、WMS管理者などの他モジュールとリアルタイム連携されます。,,ruleEnginePage,string
ruleEnginePage.wms.securityDesc,悪意のある入力が検出され、ブロックされました。,悪意のある入力が検出され、ブロックされました。,,ruleEnginePage,string
ruleEnginePage.wms.tabSupplierDesc,サプライヤー,サプライヤー,,ruleEnginePage,string
ruleEnginePage.wms.tabInventoryDesc,チャネル別リアルタイム在庫,チャネル別リアルタイム在庫,,ruleEnginePage,string
ruleEnginePage.wms.tabLot,ロット/消費期限,ロット/消費期限,,ruleEnginePage,string
ruleEnginePage.wms.tabInvoice,インボイス,インボイス,,ruleEnginePage,string
ruleEnginePage.wms.tabBundle,バンドル/BOM,バンドル/BOM,,ruleEnginePage,string
ruleEnginePage.wms.tabAudit,棚卸し,棚卸し,,ruleEnginePage,string
ruleEnginePage.wms.tabPicking,ピッキング/梱包,ピッキング/梱包,,ruleEnginePage,string
ruleEnginePage.wms.wmsHeroDesc,倉庫登録 · 入出庫 · 在庫管理 · バンドル · 宅配/特送 · コマーシャルインボイス管理,倉庫登録 · 入出庫 · 在庫管理 · バンドル · 宅配/特送 · コマーシャルインボイス管理,,ruleEnginePage,string
ruleEnginePage.wms.ioDemoMsg,📌 体験モード: 実際の入出庫は登録されません。,📌 体験モード: 実際の入出庫は登録されません。,,ruleEnginePage,string
ruleEnginePage.wms.ioSkuRequired,SKUと数量は必須です。,SKUと数量は必須です。,,ruleEnginePage,string
ruleEnginePage.wms.invLowOnly,⚠️ 不足商品のみ,⚠️ 不足商品のみ,,ruleEnginePage,string
ruleEnginePage.wms.invNoResult,🔍 検索結果がありません。,🔍 検索結果がありません。,,ruleEnginePage,string
ruleEnginePage.wms.invOutOfStock,📛 品切れ,📛 品切れ,,ruleEnginePage,string
ruleEnginePage.wms.invDemoAdj,📌 体験: 在庫調整は適用されません。,📌 体験: 在庫調整は適用されません。,,ruleEnginePage,string
ruleEnginePage.wms.bdlTitle,📦 バンドル・キット BOM管理,📦 バンドル・キット BOM管理,,ruleEnginePage,string
ruleEnginePage.wms.supNameRequired,会社名とコードは必須です。,会社名とコードは必須です。,,ruleEnginePage,string
ruleEnginePage.wms.auditTitle,📋 棚卸し,📋 棚卸し,,ruleEnginePage,string
ruleEnginePage.wms.trackTitle,🔍 リアルタイム配送追跡,🔍 リアルタイム配送追跡,,ruleEnginePage,string
ruleEnginePage.wms.trackDesc,宅配社APIで配送状態をリアルタイム照会,宅配社APIで配送状態をリアルタイム照会,,ruleEnginePage,string
ruleEnginePage.wms.trackNumRequired,送り状番号を入力してください。,送り状番号を入力してください。,,ruleEnginePage,string
ruleEnginePage.wms.guideStep9Title,プロモカレンダー,プロモカレンダー,,ruleEnginePage,string
ruleEnginePage.wms.guideStep9Desc,プロモーション価格イベントを計画・予約します。,プロモーション価格イベントを計画・予約します。,,ruleEnginePage,string
ruleEnginePage.wms.guideStep10Title,レビュー＆適用,レビュー＆適用,,ruleEnginePage,string
ruleEnginePage.wms.guideStep10Desc,サマリータブで最適化結果をレビューします。カタログ同期で推薦価格をリアルタイムでチャネルに適用します。,サマリータブで最適化結果をレビューします。カタログ同期で推薦価格をリアルタイムでチャネルに適用します。,,ruleEnginePage,string
ruleEnginePage.wms.guideStep11Title,コマーシャルインボイス,コマーシャルインボイス,,ruleEnginePage,string
ruleEnginePage.wms.guideStep11Desc,国際配送用の税関インボイスをINCOTERMS、HSコード、多通貨対応で自動生成します。,国際配送用の税関インボイスをINCOTERMS、HSコード、多通貨対応で自動生成します。,,ruleEnginePage,string
ruleEnginePage.wms.guideStep12Title,バンドル/キットBOM,バンドル/キットBOM,,ruleEnginePage,string
ruleEnginePage.wms.guideStep12Desc,BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。,BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。,,ruleEnginePage,string
ruleEnginePage.wms.guideStep13Desc,連絡先、支払条件、リードタイム、評価でサプライヤーを登録・管理します。サプライヤー別発注履歴を追跡します。,連絡先、支払条件、リードタイム、評価でサプライヤーを登録・管理します。サプライヤー別発注履歴を追跡します。,,ruleEnginePage,string
ruleEnginePage.wms.guideStep14Title,棚卸し,棚卸し,,ruleEnginePage,string
ruleEnginePage.wms.guideStep14Desc,実地棚卸を実施します。帳簿在庫と実物を比較し、差異を特定して差異報告書を作成します。,実地棚卸を実施します。帳簿在庫と実物を比較し、差異を特定して差異報告書を作成します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabWhDesc,倉庫を登録し、保管タイプを設定し、アクセス権限を管理し、施設別在庫レベルを監視します。,倉庫を登録し、保管タイプを設定し、アクセス権限を管理し、施設別在庫レベルを監視します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabInOutDesc,タイプ分類、参照番号、リアルタイム監査証跡ロギングで全在庫移動を記録します。,タイプ分類、参照番号、リアルタイム監査証跡ロギングで全在庫移動を記録します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabInvDesc,不足在庫アラート、CSVインポート/エクスポート、バーコードスキャンで全倉庫の統合在庫を確認します。,不足在庫アラート、CSVインポート/エクスポート、バーコードスキャンで全倉庫の統合在庫を確認します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabRecvDesc,入庫発注を追跡し、入庫確認すると在庫が自動更新されます。,入庫発注を追跡し、入庫確認すると在庫が自動更新されます。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabPickDesc,出庫承認ワークフローでピッキングリストを処理し、梱包伝票を印刷し、処理状況を追跡します。,出庫承認ワークフローでピッキングリストを処理し、梱包伝票を印刷し、処理状況を追跡します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabLotDesc,期限切れ間近の商品の自動アラートでロット番号と消費期限を管理します。,期限切れ間近の商品の自動アラートでロット番号と消費期限を管理します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabReplDesc,再注文ポイントを自動検出し、安全在庫に基づく推奨数量で発注書を作成します。,再注文ポイントを自動検出し、安全在庫に基づく推奨数量で発注書を作成します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabCombDesc,コスト最適化と追跡のため複数注文を単一配送に統合します。,コスト最適化と追跡のため複数注文を単一配送に統合します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabCarrDesc,配送業者を登録し、API接続をテストし、国内外の配送パートナーを管理します。,配送業者を登録し、API接続をテストし、国内外の配送パートナーを管理します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabTrackDesc,配送業者APIによるリアルタイム配送追跡とタイムライン可視化。,配送業者APIによるリアルタイム配送追跡とタイムライン可視化。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabInvcDesc,INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。,INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabBdlDesc,BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。,BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabSupDesc,サプライヤー情報、支払条件、リードタイム、発注履歴を管理します。,サプライヤー情報、支払条件、リードタイム、発注履歴を管理します。,,ruleEnginePage,string
ruleEnginePage.wms.guideTabAuditDesc,帳簿対実物比較と差異報告による実地棚卸。,帳簿対実物比較と差異報告による実地棚卸。,,ruleEnginePage,string
ruleEnginePage.wms.ioBulkTitle,入出庫一括アップロード,入出庫一括アップロード,,ruleEnginePage,string
ruleEnginePage.wms.ioBulkInfo,Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。,Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。,,ruleEnginePage,string
ruleEnginePage.wms.ioBulkSampleBtn,サンプルDL,サンプルDL,,ruleEnginePage,string
ruleEnginePage.wms.ioBulkSelectBtn,ファイル選択,ファイル選択,,ruleEnginePage,string
ruleEnginePage.wms.ioBulkDone,{n}件が正常に登録されました！,{n}件が正常に登録されました！,,ruleEnginePage,string
ruleEnginePage.wms.bulkXlsxError,Excelファイルの解析に失敗しました。書式を確認してください。,Excelファイルの解析に失敗しました。書式を確認してください。,,ruleEnginePage,string
ruleEnginePage.dash.chTrendKpi,チャネル成果推移,チャネル成果推移,,ruleEnginePage,string
ruleEnginePage.dash.Attribution,アトリビューション,アトリビューション,,ruleEnginePage,string
ruleEnginePage.dash.GraphScore,グラフスコア,グラフスコア,,ruleEnginePage,string
ruleEnginePage.dash.KRChannel,KRチャネル,KRチャネル,,ruleEnginePage,string
ruleEnginePage.dash.AIPolicy,AIポリシー,AIポリシー,,ruleEnginePage,string
ruleEnginePage.dash.chTrend,チャネルトレンド,チャネルトレンド,,ruleEnginePage,string
ruleEnginePage.dash.allChSummary,全チャネルサマリー,全チャネルサマリー,,ruleEnginePage,string
ruleEnginePage.dash.genderDist,性別・年齢分布,性別・年齢分布,,ruleEnginePage,string
ruleEnginePage.dash.convFunnel,コンバージョンファネル,コンバージョンファネル,,ruleEnginePage,string
ruleEnginePage.dash.channelMix,チャネル売上ミックス,チャネル売上ミックス,,ruleEnginePage,string
ruleEnginePage.dash.liveActivity,リアルタイム活動,リアルタイム活動,,ruleEnginePage,string
ruleEnginePage.dash.moduleShortcuts,モジュールショートカット,モジュールショートカット,,ruleEnginePage,string
