path,ja_value,ko_value,ja_type,ja_hangul
Data.,,,string,0
Data.1 day,1일,1일,string,1
Data.14 days,14일,14일,string,1
Data.3 days,3일,3일,string,1
Data.3-step automated care after signup,가입 후 3단계 자동화 케어,가입 후 3단계 자동화 케어,string,1
Data.30 days,30일,30일,string,1
Data.7 days,7일,7일,string,1
Data.A/B Test,A/B 테스트,A/B 테스트,string,1
Data.Ad Fatigue,광고 피로도,광고 피로도,string,1
Data.Add Negative Keywords,제외 키워드 추가,제외 키워드 추가,string,1
Data.Adds underperforming search terms to the negative keyword list automatically.,,성과가 저조한 검색어를 제외 키워드 목록에 자동으로 추가합니다.,string,0
Data.Alimtalk,알림톡,알림톡,string,1
Data.Auto care for VIP segment,VIP 세그먼트를 위한 자동 케어,VIP 세그먼트를 위한 자동 케어,string,1
Data.Auto coupon for birthday customers,생일 고객을 위한 자동 쿠폰 발송,생일 고객을 위한 자동 쿠폰 발송,string,1
Data.Auto stop high-risk churn customers,이탈 위험 고객 자동 방어,이탈 위험 고객 자동 방어,string,1
Data.Automated Care,자동 케어 여정,자동 케어 여정,string,1
Data.Automatically cuts a percentage of the current budget. Can be auto-restored when ROAS recovers.,,현재 예산의 일정 비율을 자동 삭감합니다. ROAS 회복 시 자동 복구 가능.,string,0
Data.Automatically scales up budget when ROAS and Conversion Rate are exceptionally high.,,ROAS 및 전환율이 매우 높을 때 예산을 자동 증액합니다.,string,0
Data.Birthday Coupon,생일 축하 쿠폰,생일 축하 쿠폰,string,1
Data.Budget Cut,예산 삭감,예산 삭감,string,1
Data.Budget Depletion,예산 소진,예산 소진,string,1
Data.Budget Increase,예산 증액,예산 증액,string,1
Data.Cart Abandoned,장바구니 이탈,장바구니 이탈,string,1
Data.Cart Abandonment Recovery,장바구니 이탈 방어,장바구니 이탈 방어,string,1
Data.Churn Prevention Campaign,이탈 방어 캠페인,이탈 방어 캠페인,string,1
Data.Churn Risk,이탈 위험군,이탈 위험군,string,1
Data.Churned Customer Reactivation,이탈 고객 재활성화,이탈 고객 재활성화,string,1
Data.Conversion,전환,전환,string,1
Data.Coupon Notification,쿠폰 발급 알림,쿠폰 발급 알림,string,1
Data.Creates and sends a special discount coupon to High-Value Churn Risk users via Kakao/Email.,,VIP 이탈 위험군에게 특별 할인 쿠폰을 카카오/이메일로 자동 생성 및 발송합니다.,string,0
Data.Delivery,배송,배송,string,1
Data.Done,종료,종료,string,1
Data.Dormant Return,휴면 복귀,휴면 복귀,string,1
Data.Email Clicked?,이메일 클릭 여부,이메일 클릭 여부,string,1
Data.Exclusive Discount Alert,단독 할인 알림,단독 할인 알림,string,1
Data.First Purchase Coupon,첫 구매 할인 쿠폰,첫 구매 할인 쿠폰,string,1
Data.Friendtalk,친구톡,친구톡,string,1
Data.Geniego Shop,지니고 샵,지니고 샵,string,1
Data.Geniego Team,지니고 팀,지니고 팀,string,1
Data.Geniego VIP,지니고 VIP,지니고 VIP,string,1
Data.Immediately pauses an ad campaign. High-risk action requiring mandatory approval.,,광고 캠페인을 즉시 일시정지합니다. 필수 승인이 필요한 고위험 액션입니다.,string,0
Data.LINE VIP Notification,LINE VIP 알림,LINE VIP 알림,string,1
Data.March Spring Season Promotion,3월 봄 시즌 프로모션,3월 봄 시즌 프로모션,string,1
Data.Marketing,Marketing,마케팅,string,0
Data.New Member,신규 가입,신규 가입,string,1
Data.New Member Onboarding,신규 회원 온보딩,신규 회원 온보딩,string,1
Data.New Member Welcome,신규 회원 환영,신규 회원 환영,string,1
Data.New Signup,신규 가입 완료,신규 가입 완료,string,1
Data.Notify Teams via Slack,Slack 님에게 알림 전송,Slack 님에게 알림 전송,string,1
Data.ORDER_CONFIRM_01,주문_확인_01,주문_확인_01,string,1
