path,ko_current,ja_value,ns
ruleEnginePage.supplyChain.pageTitle,サプライチェーン可視性,サプライチェーン可視性,ruleEnginePage
ruleEnginePage.supplyChain.pageSub,サプライヤー → 生産 → 出荷 → 通関 → 入庫 → 出庫の全フロー リアルタイム追跡、リードタイム自動計算、供給リスク検知,サプライヤー → 生産 → 出荷 → 通関 → 入庫 → 出庫の全フロー リアルタイム追跡、リードタイム自動計算、供給リスク検知,ruleEnginePage
ruleEnginePage.supplyChain.tabTimeline,供給タイムライン,供給タイムライン,ruleEnginePage
ruleEnginePage.supplyChain.tabSuppliers,サプライヤー管理,サプライヤー管理,ruleEnginePage
ruleEnginePage.supplyChain.tabLeadTime,リードタイム分析,リードタイム分析,ruleEnginePage
ruleEnginePage.supplyChain.tabRisk,リスク検知,リスク検知,ruleEnginePage
ruleEnginePage.supplyChain.invSupplier,サプライヤー保有,サプライヤー保有,ruleEnginePage
ruleEnginePage.supplyChain.poSelectSupplier,サプライヤー選択,サプライヤー選択,ruleEnginePage
ruleEnginePage.supplyChain.lcDesc,商品原価、物流費、関税、保険、ハンドリング費用を含む最終到着原価（Landed Cost）を計算します。,商品原価、物流費、関税、保険、ハンドリング費用を含む最終到着原価（Landed Cost）を計算します。,ruleEnginePage
ruleEnginePage.supplyChain.lcHandling,ハンドリング,ハンドリング,ruleEnginePage
ruleEnginePage.supplyChain.lcOther,その他費用,その他費用,ruleEnginePage
ruleEnginePage.supplyChain.guideStep9Desc,全入力フィールドでXSS、SQLインジェクション、パストラバーサルなどのハッキング試行をリアルタイムで検知・ブロックします。,全入力フィールドでXSS、SQLインジェクション、パストラバーサルなどのハッキング試行をリアルタイムで検知・ブロックします。,ruleEnginePage
ruleEnginePage.supplyChain.guideStep10Title,データ活用,データ活用,ruleEnginePage
ruleEnginePage.supplyChain.guideStep10Desc,サプライチェーンデータは価格最適化、WMS管理者などの他モジュールとリアルタイム連携されます。,サプライチェーンデータは価格最適化、WMS管理者などの他モジュールとリアルタイム連携されます。,ruleEnginePage
ruleEnginePage.wms.tabInventoryDesc,チャネル別リアルタイム在庫,チャネル別リアルタイム在庫,ruleEnginePage
ruleEnginePage.wms.tabLot,ロット/消費期限,ロット/消費期限,ruleEnginePage
ruleEnginePage.wms.tabInvoice,インボイス,インボイス,ruleEnginePage
ruleEnginePage.wms.tabBundle,バンドル/BOM,バンドル/BOM,ruleEnginePage
ruleEnginePage.wms.tabPicking,ピッキング/梱包,ピッキング/梱包,ruleEnginePage
ruleEnginePage.wms.wmsHeroDesc,倉庫登録 · 入出庫 · 在庫管理 · バンドル · 宅配/特送 · コマーシャルインボイス管理,倉庫登録 · 入出庫 · 在庫管理 · バンドル · 宅配/特送 · コマーシャルインボイス管理,ruleEnginePage
ruleEnginePage.wms.ioDemoMsg,📌 体験モード: 実際の入出庫は登録されません。,📌 体験モード: 実際の入出庫は登録されません。,ruleEnginePage
ruleEnginePage.wms.ioSkuRequired,SKUと数量は必須です。,SKUと数量は必須です。,ruleEnginePage
ruleEnginePage.wms.invLowOnly,⚠️ 不足商品のみ,⚠️ 不足商品のみ,ruleEnginePage
ruleEnginePage.wms.invNoResult,🔍 検索結果がありません。,🔍 検索結果がありません。,ruleEnginePage
ruleEnginePage.wms.invOutOfStock,📛 品切れ,📛 品切れ,ruleEnginePage
ruleEnginePage.wms.invDemoAdj,📌 体験: 在庫調整は適用されません。,📌 体験: 在庫調整は適用されません。,ruleEnginePage
ruleEnginePage.wms.bdlTitle,📦 バンドル・キット BOM管理,📦 バンドル・キット BOM管理,ruleEnginePage
ruleEnginePage.wms.supNameRequired,会社名とコードは必須です。,会社名とコードは必須です。,ruleEnginePage
