namespace_l2,locale,clone_cluster,key,value_sample
crm.contentCal,en,en-cluster,crm.contentCal.title,Content Calendar
crm.contentCal,en,en-cluster,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,en,en-cluster,crm.contentCal.tabCalendar,Calendar
crm.contentCal,en,en-cluster,crm.contentCal.tabList,List
crm.contentCal,en,en-cluster,crm.contentCal.tabAi,AI Analysis
crm.contentCal,zh-TW,,crm.contentCal.title,Content Calendar
crm.contentCal,zh-TW,,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,zh-TW,,crm.contentCal.tabCalendar,Calendar
crm.contentCal,zh-TW,,crm.contentCal.tabList,List
crm.contentCal,zh-TW,,crm.contentCal.tabAi,AI Analysis
crm.contentCal,es,en-cluster,crm.contentCal.title,Content Calendar
crm.contentCal,es,en-cluster,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,es,en-cluster,crm.contentCal.tabCalendar,Calendar
crm.contentCal,es,en-cluster,crm.contentCal.tabList,List
crm.contentCal,es,en-cluster,crm.contentCal.tabAi,AI Analysis
crm.contentCal,fr,en-cluster,crm.contentCal.title,Content Calendar
crm.contentCal,fr,en-cluster,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,fr,en-cluster,crm.contentCal.tabCalendar,Calendar
crm.contentCal,fr,en-cluster,crm.contentCal.tabList,List
crm.contentCal,fr,en-cluster,crm.contentCal.tabAi,AI Analysis
crm.contentCal,de,,crm.contentCal.title,Content Calendar
crm.contentCal,de,,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,de,,crm.contentCal.tabCalendar,Calendar
crm.contentCal,de,,crm.contentCal.tabList,List
crm.contentCal,de,,crm.contentCal.tabAi,AI Analysis
crm.contentCal,pt,pt-cluster,crm.contentCal.title,Content Calendar
crm.contentCal,pt,pt-cluster,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,pt,pt-cluster,crm.contentCal.tabCalendar,Calendar
crm.contentCal,pt,pt-cluster,crm.contentCal.tabList,List
crm.contentCal,pt,pt-cluster,crm.contentCal.tabAi,AI Analysis
crm.contentCal,ru,pt-cluster,crm.contentCal.title,Content Calendar
crm.contentCal,ru,pt-cluster,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,ru,pt-cluster,crm.contentCal.tabCalendar,Calendar
crm.contentCal,ru,pt-cluster,crm.contentCal.tabList,List
crm.contentCal,ru,pt-cluster,crm.contentCal.tabAi,AI Analysis
crm.contentCal,ar,pt-cluster,crm.contentCal.title,Content Calendar
crm.contentCal,ar,pt-cluster,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,ar,pt-cluster,crm.contentCal.tabCalendar,Calendar
crm.contentCal,ar,pt-cluster,crm.contentCal.tabList,List
crm.contentCal,ar,pt-cluster,crm.contentCal.tabAi,AI Analysis
crm.contentCal,hi,pt-cluster,crm.contentCal.title,Content Calendar
crm.contentCal,hi,pt-cluster,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,hi,pt-cluster,crm.contentCal.tabCalendar,Calendar
crm.contentCal,hi,pt-cluster,crm.contentCal.tabList,List
crm.contentCal,hi,pt-cluster,crm.contentCal.tabAi,AI Analysis
