keypath,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class,n_placeholder,action
pages.marketingIntel.All,전체,PASS,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,14,translate
pages.marketingIntel.Simulation,시뮬레이션,PASS,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,14,translate
pages.marketingIntel._,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,15,translate
pages.marketingIntel.a,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,15,translate
pages.marketingIntel.abGroupA,A 그룹,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,0,skip
pages.marketingIntel.abGroupB,B 그룹,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,0,skip
pages.marketingIntel.abPerformance,,MISSING,📊 Ad Performance,PASS,,MISSING,,MISSING,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Werbeleistung,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Performa Iklan,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,0,skip
pages.marketingIntel.account,계정,PASS,Account,P4,アカウント,PASS,账户,PASS,账户,PASS,Account,P4,Account,P4,Konto,PASS,Account,P4,Account,P4,Account,P4,Account,P4,Account,P4,Account,P4,Account,P4,10,translate
pages.marketingIntel.accountNo,,MISSING,Account No.,PASS,口座番号,PASS,账号,PASS,账号,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,0,skip
pages.marketingIntel.acos,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,ACOS,P4,15,translate
