rank,ja_value,proposed_ko
1,CSVエクスポート,CSV 내보내기
2,A/Bテスト,A/B 테스트
3,チャネル連携,채널 연동
4,セキュリティ有効,보안 활성화
5,トリガー,트리거
6,ネガティブ,부정적
7,ポジティブ,긍정적
8,AIルール,AI 규칙
9,カスタマージャーニービルダー,고객 여정 빌더
10,下書き,임시 저장
11,予約済み,예약됨
12,接続チャネル,연결된 채널
13,AIがクリエイターデータを分析中です...,AI가 크리에이터 데이터를 분석 중입니다...
14,AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析,AI 기반 · ROI·전환율·참여도·커미션 추천·계약 갱신 제안 + 지역·연령·성별 분석
15,Excelエクスポート,Excel 내보내기
16,カート,장바구니
17,キャンペーン作成,캠페인 생성
18,キャンペーン管理,캠페인 관리
19,ライトバック設定,Writeback 설정
20,リアルタイムクロスタブ同期有効 — 全モジュールデータがリアルタイム反映,실시간 크로스탭 동기화 활성화 — 모든 모듈 데이터 실시간 반영
21,レビューフィード,리뷰 피드
22,連携ハブへ移動,연동 허브로 이동
23,🤖 AIリアルタイムクリエイター総合評価,🤖 AI 실시간 크리에이터 종합 평가
24,30分ごと,30분마다
25,AIデザイン生成,AI 디자인 생성
26,ESGレポート,ESG 리포트
27,SKUスコア,SKU 점수
28,⚙ ライトバック設定,⚙ Writeback 설정
29,アトリビューション分析,어트리뷰션 분석
30,インフルエンサースコア,인플루언서 점수
31,ウェルカム,환영 메시지
32,エッジなし — 統合ハブでチャネルを接続してください,연결 없음 — 통합 허브에서 채널을 연결해주세요
33,カスタム,사용자 설정
34,カート離脱,장바구니 이탈
35,クリエイティブスコア,크리에이티브 점수
36,グラフスコア,그래프 점수
37,グラフブラウザ,그래프 브라우저
38,コンテンツ登録,콘텐츠 등록
39,コンプライアンス用全操作記録,컴플라이언스용 전체 작업 기록
40,ジョブ履歴,작업 이력
41,セキュリティ監視,보안 모니터링
42,ソースノード,소스 노드
43,タイトル,제목
44,ターゲットノード,타겟 노드
45,テンプレート名,템플릿명
46,デモモード — ライトバック操作不可,데모 모드 — Writeback 작업 불가
47,デモモードでは実行不可,데모 모드에서는 실행할 수 없습니다
48,デモモードでは承認/却下不可,데모 모드에서는 승인/반려할 수 없습니다
49,データウェアハウス,데이터 웨어하우스
50,ニュートラル,중립
51,パス重み,경로 가중치
52,フラッシュセール,플래시 세일
53,フレンドリー,친근함
54,プロフェッショナル,전문적
55,ポップアップ管理,팝업 관리
56,予算プランナー,예산 플래너
57,承認リクエストなし,승인 요청 없음
58,接続された貢献パスなし,연결된 기여 경로 없음
59,貢献インフルエンサー,기여 인플루언서
60,貢献クリエイティブ,기여 크리에이티브
61,重み,가중치
62,📋 アラート履歴,📋 알림 이력
63,📋 承認キュー,📋 승인 대기열
64,📖 ガイド,📖 가이드
65,🛤 貢献パス,🛤 기여 경로
66,1時間ごと,1시간마다
67,20項目KPI貢献度スコアリング,20개 KPI 기여도 스코어링
68,4チャンネル,4개 채널
69,5インフルエンサー,인플루언서 5명
70,6時間ごと,6시간마다
71,AIマーケティング手法推薦,AI 마케팅 전략 추천
72,APIキー設定,API 키 설정
73,CPO (件当たりコスト),CPO (건당 비용)
74,CSVインポート,CSV 가져오기
75,Claude AIがチャネル・カテゴリ・ターゲットに合わせた広告素材を自動生成します,Claude AI가 채널·카테고리·타겟에 맞는 광고 소재를 자동 생성합니다
76,SMSマーケティング,SMS 마케팅
77,⚙️ マーケティング自動化,⚙️ 마케팅 자동화
78,⚙️ 自動化ルール一覧,⚙️ 자동화 규칙 목록
79,✍️ コピーのトーン,✍️ 카피 톤
80,✕ 却下済み,✕ 반려됨
81,✨ AI広告素材を生成,✨ AI 광고 소재 생성
82,⬇ ダウンロード,⬇ 다운로드
83,アトリビューション,어트리뷰션
84,アナリティクス,분석
85,イベント,이벤트
86,インフルエンサー規模,인플루언서 규모
87,ウェブポップアップ管理,웹 팝업 관리
88,オムニチャネル,옴니채널
89,カタログ同期,카탈로그 동기화
90,カテゴリマッピング,카테고리 매핑
91,カート→購入,장바구니→구매
92,カート率,장바구니 전환율
93,キーワード,키워드
94,クリック率(CTR),클릭률(CTR)
95,グラフスコアリング,그래프 스코어링
96,コホート分析,코호트 분석
97,コンテンツ種別,콘텐츠 유형
98,サプライヤー,공급업체
99,サマリースコア,종합 점수
100,ショートカットURL,단축 URL
101,ジャーニー名,여정명
102,スケジュール,일정
103,セキュリティロック有効,보안 잠금 활성화
104,セキュリティ正常,보안 정상
105,タッチポイント数,터치포인트 수
106,ダッシュボード利用ガイド,대시보드 사용 가이드
107,チャネルKPIダッシュボード,채널 KPI 대시보드
108,チャネル手数料,채널 수수료
109,チャネル種別,채널 유형
110,チャネル精算管理,채널 정산 관리
111,テスト送信,테스트 발송
112,デバイス,디바이스
113,ドメイン,도메인
114,ニュースレター,뉴스레터
115,ネガティブレビュー,부정 리뷰
116,ハッシュタグ,해시태그
117,ファネル・チャネル・インフルエンサー転換,퍼널·채널·인플루언서 전환
118,フィールド,필드
119,プロモーション種別,프로모션 유형
120,ヘッドライン,헤드라인
121,ポリシーなし,정책 없음
122,ポリシー名,정책명
123,メッセージ内容,메시지 내용
124,モニタリング,모니터링
125,モバイル転換,모바일 전환율
126,ライブプレビュー,실시간 미리보기
127,リアルタイムクロスタブ同期有効 — すべてのメニューのデータがリアルタイムで反映されます。,실시간 크로스탭 동기화 활성화 — 모든 메뉴 데이터가 실시간으로 반영됩니다.
128,ルールなし,규칙 없음
129,ルール名,규칙명
130,レポートビルダー,리포트 빌더
131,ローアス,ROAS
132,"例: 保湿, 弾力, 肌バリア","예: 보습, 탄력, 피부 장벽"
133,例: 保湿クリーム プレミアム 50ml,예: 보습 크림 프리미엄 50ml
134,保存済みレイアウト,저장된 레이아웃
135,契約タイプ,계약 유형
136,実行アクション:,실행 액션:
137,悪意のある入力が検知されブロックされました。,악성 입력이 감지되어 차단되었습니다.
138,承認キュー,승인 대기열
139,承認ゲート,승인 게이트
140,接続チャネルがありません。統合ハブでAPIキーを登録してください。,연결된 채널이 없습니다. 통합 허브에서 API 키를 등록해주세요.
141,日残り,일 남음
142,本文コピー,본문 카피
143,注文番号・購入者・商品名で検索...,주문번호·구매자·상품명으로 검색...
144,流入・転換・貢献度データ基盤 最適マーケティング戦略推薦,유입·전환·기여도 데이터 기반 최적 마케팅 전략 추천
145,流入・転換分析 · 20項目KPI貢献度スコアリング · AI推薦 · 自動化承認実行,유입·전환 분석 · 20개 KPI 기여도 스코어링 · AI 추천 · 자동 승인 실행
146,為替レート,환율
147,現在のプラン,현재 플랜
148,監査ログなし,감사 로그 없음
149,統合ハブへ移動,통합 허브로 이동
150,自動化ルール・承認・実行,자동화 규칙·승인·실행
151,連携済み,연동 완료
152,🎨 AI広告クリエイティブ生成スタジオ,🎨 AI 광고 크리에이티브 생성 스튜디오
153,🎨 クリエイティブ,🎨 크리에이티브
154,🎨 クリエイティブスタイル,🎨 크리에이티브 스타일
155,🎨 生成された広告素材,🎨 생성된 광고 소재
156,🎯 ターゲット,🎯 타겟
157,🏆 チャネル総合貢献度スコア (20項目加重合算),🏆 채널 종합 기여도 점수 (20개 항목 가중 합산)
158,📊 流入・転換分析,📊 유입·전환 분석
159,📋 20項目標準評価指標詳細 (チャネル別),📋 20개 표준 평가 지표 상세 (채널별)
160,📋 コピー,📋 복사
161,📐 広告サイズ,📐 광고 사이즈
162,📖 利用ガイド,📖 사용 가이드
163,📜 自動化実行ログ,📜 자동화 실행 로그
164,📢 広告プラットフォーム選択,📢 광고 플랫폼 선택
165,📣 CTAボタン,📣 CTA 버튼
166,📣 チャネル別流入・転換詳細 (クリックで展開),📣 채널별 유입·전환 상세 (클릭하여 펼치기)
167,🔑 キーワード,🔑 키워드
168,🔽 全体マーケティングファネル (4チャネル統合),🔽 전체 마케팅 퍼널 (4개 채널 통합)
169,🕸️ モデル比較,🕸️ 모델 비교
170,🛡️ ポリシー,🛡️ 정책
171,🤖 AIが広告素材を生成中…,🤖 AI가 광고 소재를 생성 중…
172,🤖 AI推薦エンジン,🤖 AI 추천 엔진
173,🤖 Claude AI マーケティング推薦エンジン,🤖 Claude AI 마케팅 추천 엔진
174,🤝 インフルエンサーキャンペーン流入・転換,🤝 인플루언서 캠페인 유입·전환
175,🧠 マーケティングインテリジェンス,🧠 마케팅 인텔리전스
176,+ インポート,+ 가져오기
177,100+システム統合対応,100개 이상 시스템 통합 지원
178,12時間ごと,12시간마다
179,3PL、サプライチェーン、返品、アジア、アラート。,3PL·공급망·반품·아시아·알림.
180,3PLパートナー登録,3PL 파트너 등록
181,3PL・物流・サプライチェーン・返品統合運営,3PL·물류·공급망·반품 통합 운영
182,3段階ドリルダウン,3단계 드릴다운
183,400+ APIエンドポイント対応,400개 이상 API 엔드포인트 지원
184,52週時系列データ,52주 시계열 데이터
185,5つのモデル,5개 모델
186,5ステップカスタムパス,5단계 맞춤 경로
187,A/Bテスト実行,A/B 테스트 실행
188,A/Bテスト結果,A/B 테스트 결과
189,AIが顧客セグメントを自動生成し、最適な送信時間にEmail・Kakao・SMSを自動配信します。,AI가 고객 세그먼트를 자동 생성하고 최적의 발송 시간에 Email·Kakao·SMS를 자동 발송합니다.
190,AIオートマーケティング,AI 오토 마케팅
191,AIポリシー,AI 정책
192,AIモニタリング,AI 모니터링
