path,ko_value,length,latin_ratio,category
writebackPage.heroDesc,판매·광고·분석 채널의 API 키를 등록하고 연결 상태를 관리합니다.,38,0.079,B_MIXED_LOW_RATIO
writebackPage.runPreparePolicy,Prepare를 실행하여 정책을 검증하세요.,24,0.292,B_MIXED_LOW_RATIO
writebackPage.runPrepareCategory,Prepare를 실행하여 카테고리 제안을 받으세요.,28,0.250,B_MIXED_LOW_RATIO
writebackPage.payloadEditorDesc,상품 JSON을 입력하고 미리보기로 실행 전 검증하세요.,31,0.129,B_MIXED_LOW_RATIO
writebackPage.cfgDryRunDesc,실제 채널 API 호출 없이 라이트백 시뮬레이션,26,0.115,B_MIXED_LOW_RATIO
writebackPage.cfgRateLimitDesc,채널별 API 속도 제한 적용,16,0.188,B_MIXED_LOW_RATIO
writebackPage.demoBanner,🎭 DEMO 모드 — 라이트백,17,0.235,B_MIXED_LOW_RATIO
writebackPage.upgradeBtn,💎 Pro 업그레이드,12,0.250,B_MIXED_LOW_RATIO
writebackPage.errNoSku,SKU를 입력하세요.,11,0.273,B_MIXED_LOW_RATIO
writebackPage.errNoPayload,상품 JSON을 먼저 입력하세요.,18,0.222,B_MIXED_LOW_RATIO
writebackPage.syncRules,AI 규칙,5,0.400,B_MIXED_LOW_RATIO
writebackPage.memberStoreUrl,쇼핑몰 URL,7,0.429,B_MIXED_LOW_RATIO
writebackPage.guideSecConsole,"채널 선택, SKU 입력, 정책 검증, 카테고리 제안, 페이로드 편집, 미리보기 및 실행을 수행합니다.",57,0.053,B_MIXED_LOW_RATIO
approvalsPage.heroDesc,판매·광고·분석 채널의 API 키를 등록하고 연결 상태를 관리합니다.,38,0.079,B_MIXED_LOW_RATIO
approvalsPage.noRequestsDesc,AI 규칙 엔진 및 AI 정책의 승인 요청이 실시간으로 여기에 표시됩니다.,41,0.098,B_MIXED_LOW_RATIO
approvalsPage.syncRules,AI 규칙,5,0.400,B_MIXED_LOW_RATIO
approvalsPage.cfgRequire2fa,2FA 인증,6,0.333,B_MIXED_LOW_RATIO
approvalsPage.cfgSlackNotifyDesc,승인 알림을 Slack으로 전송,17,0.294,B_MIXED_LOW_RATIO
approvalsPage.demoBanner,🎭 DEMO 모드 — 승인 관리,18,0.222,B_MIXED_LOW_RATIO
approvalsPage.upgradeBtn,💎 Pro 업그레이드,12,0.250,B_MIXED_LOW_RATIO
approvalsPage.guideSecQueue,AI 규칙 엔진과 AI 정책에서 발생한 승인 요청을 실시간으로 표시합니다.,41,0.098,B_MIXED_LOW_RATIO
approvalsPage.guideSecSettings,"자동 승인, 2FA, 알림, 실행 지연, 감사 로깅 등을 세밀하게 제어합니다.",43,0.047,B_MIXED_LOW_RATIO
ruleEnginePage.heroDesc,판매·광고·분석 채널의 API 키를 등록하고 연결 상태를 관리합니다.,38,0.079,B_MIXED_LOW_RATIO
ruleEnginePage.tabDiscover,ML 패턴 탐지,8,0.250,B_MIXED_LOW_RATIO
ruleEnginePage.tabDiscoverDesc,AI 자동 패턴 탐지,11,0.182,B_MIXED_LOW_RATIO
ruleEnginePage.tabModel,AI 모델 현황,8,0.250,B_MIXED_LOW_RATIO
ruleEnginePage.tabLLM,LLM 규칙 생성,9,0.333,B_MIXED_LOW_RATIO
ruleEnginePage.tabGuideDesc,AI 규칙 엔진 이용 가이드,15,0.133,B_MIXED_LOW_RATIO
ruleEnginePage.noPatternsDesc,연동허브에서 채널을 연동하면 AI가 자동으로 비즈니스 패턴을 탐지합니다.,40,0.050,B_MIXED_LOW_RATIO
ruleEnginePage.noActiveRulesDesc,ML 패턴 탐지에서 패턴을 승인하거나 LLM에서 규칙을 생성하세요.,37,0.135,B_MIXED_LOW_RATIO
ruleEnginePage.totalTrained,총 {{count}} 건 학습됨,17,0.294,B_MIXED_LOW_RATIO
ruleEnginePage.llmGreeting,안녕하세요! AI 규칙 생성 어시스턴트입니다. 자연어로 비즈니스 규칙을 설명해 주세요.,48,0.042,B_MIXED_LOW_RATIO
ruleEnginePage.suggestion1,ROAS가 1.5 미만이면 해당 캠페인 광고비를 50% 줄여줘,34,0.118,B_MIXED_LOW_RATIO
