ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
ruleEnginePage.crmSyncDoneMsg	"顧客情報がCRMに正常に同期されました。"
ruleEnginePage.crmSyncFailMsg	"CRM同期に失敗しました。"
ruleEnginePage.crmViewBtn	"CRMへ移動"
ruleEnginePage.carrierCJ	"CJ ロジスティクス"
ruleEnginePage.carrierLotte	"ロッテ宅配"
ruleEnginePage.carrierLogen	"ロジェン宅配"
ruleEnginePage.guideStep7Desc	"B2Bタブで大量注文を別途管理します。"
ruleEnginePage.guideStep8Title	"自動ルーティングエンジン"
ruleEnginePage.guideStep8Desc	"自動ルーティングタブで条件別ルールを作成・管理します。"
ruleEnginePage.noData	"データがありません。"
ruleEnginePage.liveFeedTitle	"リアルタイム注文フィード"
ruleEnginePage.tabClaims	"クレーム/返品"
ruleEnginePage.tabRouting	"自動ルーティング"
ruleEnginePage.kpiClaimCount	"クレーム"
ruleEnginePage.kpiClaimRet	"クレーム/返品"
ruleEnginePage.searchPlaceholder	"注文番号・購入者・商品名で検索..."
ruleEnginePage.allChannels	"全チャネル"
ruleEnginePage.allStatus	"全ステータス"
ruleEnginePage.colChannel	"チャネル"
ruleEnginePage.badgeClaim	"クレーム"
ruleEnginePage.labelChannel	"チャネル"
ruleEnginePage.settleColChannel	"チャネル"
ruleEnginePage.deliveryColChannel	"チャネル"
ruleEnginePage.deliveryNoData	"配送データなし"
ruleEnginePage.claimCancel	"キャンセル"
ruleEnginePage.claimColId	"クレームID"
ruleEnginePage.claimColChannel	"チャネル"
ruleEnginePage.claimNoData	"クレームなし"
ruleEnginePage.intlNoData	"国際注文なし"
ruleEnginePage.intlShipGuide	"配送ガイド"
ruleEnginePage.intlDdpDesc	"DDP:販売者が関税を負担します。"
ruleEnginePage.intlDduDesc	"DDU:購入者が関税を負担します。"
ruleEnginePage.settingsDesc	"注文収集と通知設定を管理します。"
ruleEnginePage.settingsAutoCollectDesc	"連携チャネルからリアルタイムで自動収集します。"
ruleEnginePage.settingsSlaMonitor	"SLAモニタリング"
ruleEnginePage.settingsSlaMonitorDesc	"チャネル別SLAを監視します。"
ruleEnginePage.settingsNotifDesc	"新規注文・クレーム・SLA違反時に通知します。"
ruleEnginePage.routingEngineTitle	"自動ルーティングエンジン"
ruleEnginePage.routingEngineDesc	"条件別自動配送ルール管理"
ruleEnginePage.routingSimBtn	"シミュレーション"
ruleEnginePage.routingAddBtn	"＋ルール追加"
ruleEnginePage.routingNewRule	"新規ルール"
ruleEnginePage.routingRuleLabel	"ルール名"
ruleEnginePage.routingCancel	"キャンセル"
ruleEnginePage.routingMatched	"マッチ"
ruleEnginePage.routingNoRules	"ルールがありません。"
ruleEnginePage.ovClaims	"クレーム"
ruleEnginePage.ovChannelSales	"チャネル別売上"
ruleEnginePage.ovPickingList	"ピッキングリスト"
ruleEnginePage.ovPackingSlip	"パッキングスリップ"
ruleEnginePage.ovClaimRate	"クレーム率"
ruleEnginePage.ovActiveChannels	"有効チャネル"
ruleEnginePage.enhColChannel	"チャネル"
ruleEnginePage.enhSearchPlaceholder	"注文番号・購入者・商品名で検索..."
ruleEnginePage.enhAllChannel	"全チャネル"
ruleEnginePage.enhAllStatus	"全ステータス"
ruleEnginePage.enhTimelineTitle	"注文タイムライン"
ruleEnginePage.enhMemoTitle	"メモ"
ruleEnginePage.enhMemoSave	"メモ保存"
ruleEnginePage.settleCoupon	"クーポン"
ruleEnginePage.settleBridgeTitle	"精算センター"
ruleEnginePage.settleBridgeDesc	"詳細精算・照合機能は専用モジュールで確認できます。"
ruleEnginePage.supplyChain.pageTitle	"サプライチェーン可視性"
ruleEnginePage.supplyChain.pageSub	"サプライヤー → 生産 → 出荷 → 通関 → 入庫 → 出庫の全フロー リアルタイム追跡、リードタイム自動計算、供給リスク検知"
ruleEnginePage.supplyChain.tabTimeline	"供給タイムライン"
ruleEnginePage.supplyChain.tabSuppliers	"サプライヤー管理"
ruleEnginePage.supplyChain.tabLeadTime	"リードタイム分析"
ruleEnginePage.supplyChain.tabRisk	"リスク検知"
ruleEnginePage.supplyChain.securityAlert	"セキュリティ脅威検知"
ruleEnginePage.supplyChain.securityDesc	"悪意のある入力が検出され、ブロックされました。"
ruleEnginePage.supplyChain.cancel	"キャンセル"
ruleEnginePage.supplyChain.addRule	"ルール追加"
ruleEnginePage.supplyChain.ruleName	"ルール名"
ruleEnginePage.supplyChain.invSupplier	"サプライヤー保有"
ruleEnginePage.supplyChain.poSelectSupplier	"サプライヤー選択"
ruleEnginePage.supplyChain.lcDesc	"商品原価、物流費、関税、保険、ハンドリング費用を含む最終到着原価（Landed Cost）を計算します。"
ruleEnginePage.supplyChain.lcHandling	"ハンドリング"
ruleEnginePage.supplyChain.lcOther	"その他費用"
ruleEnginePage.supplyChain.guideStep9Title	"セキュリティ監視"
ruleEnginePage.supplyChain.guideStep9Desc	"全入力フィールドでXSS、SQLインジェクション、パストラバーサルなどのハッキング試行をリアルタイムで検知・ブロックします。"
ruleEnginePage.supplyChain.guideStep10Title	"データ活用"
ruleEnginePage.supplyChain.guideStep10Desc	"サプライチェーンデータは価格最適化、WMS管理者などの他モジュールとリアルタイム連携されます。"
ruleEnginePage.wms.securityDesc	"悪意のある入力が検出され、ブロックされました。"
ruleEnginePage.wms.tabSupplierDesc	"サプライヤー"
ruleEnginePage.wms.tabInventoryDesc	"チャネル別リアルタイム在庫"
ruleEnginePage.wms.tabLot	"ロット/消費期限"
ruleEnginePage.wms.tabInvoice	"インボイス"
ruleEnginePage.wms.tabBundle	"バンドル/BOM"
ruleEnginePage.wms.tabAudit	"棚卸し"
ruleEnginePage.wms.tabTrackingDesc	"リアルタイム"
ruleEnginePage.wms.pageSub	"コネクタ＆統合管理"
ruleEnginePage.wms.tabPicking	"ピッキング/梱包"
ruleEnginePage.wms.wmsHeroDesc	"倉庫登録 · 入出庫 · 在庫管理 · バンドル · 宅配/特送 · コマーシャルインボイス管理"
ruleEnginePage.wms.ioDemoMsg	"📌 体験モード: 実際の入出庫は登録されません。"
ruleEnginePage.wms.ioSkuRequired	"SKUと数量は必須です。"
ruleEnginePage.wms.invLowOnly	"⚠️ 不足商品のみ"
ruleEnginePage.wms.invNoResult	"🔍 検索結果がありません。"
ruleEnginePage.wms.invOutOfStock	"📛 品切れ"
ruleEnginePage.wms.invDemoAdj	"📌 体験: 在庫調整は適用されません。"
ruleEnginePage.wms.invcColNo	"#"
ruleEnginePage.wms.bdlTitle	"📦 バンドル・キット BOM管理"
ruleEnginePage.wms.supNameRequired	"会社名とコードは必須です。"
ruleEnginePage.wms.auditTitle	"📋 棚卸し"
ruleEnginePage.wms.trackTitle	"🔍 リアルタイム配送追跡"
ruleEnginePage.wms.trackDesc	"宅配社APIで配送状態をリアルタイム照会"
ruleEnginePage.wms.trackNumRequired	"送り状番号を入力してください。"
ruleEnginePage.wms.tabGuideDesc	"使い方"
ruleEnginePage.wms.guideStep9Title	"プロモカレンダー"
ruleEnginePage.wms.guideStep9Desc	"プロモーション価格イベントを計画・予約します。"
ruleEnginePage.wms.guideStep10Title	"レビュー＆適用"
ruleEnginePage.wms.guideStep10Desc	"サマリータブで最適化結果をレビューします。カタログ同期で推薦価格をリアルタイムでチャネルに適用します。"
ruleEnginePage.wms.guideStep11Title	"コマーシャルインボイス"
ruleEnginePage.wms.guideStep11Desc	"国際配送用の税関インボイスをINCOTERMS、HSコード、多通貨対応で自動生成します。"
ruleEnginePage.wms.guideStep12Title	"バンドル/キットBOM"
ruleEnginePage.wms.guideStep12Desc	"BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。"
ruleEnginePage.wms.guideStep13Desc	"連絡先、支払条件、リードタイム、評価でサプライヤーを登録・管理します。サプライヤー別発注履歴を追跡します。"
ruleEnginePage.wms.guideStep14Title	"棚卸し"
ruleEnginePage.wms.guideStep14Desc	"実地棚卸を実施します。帳簿在庫と実物を比較し、差異を特定して差異報告書を作成します。"
ruleEnginePage.wms.guideTabsTitle	"タブ説明"
ruleEnginePage.wms.guideTabWhDesc	"倉庫を登録し、保管タイプを設定し、アクセス権限を管理し、施設別在庫レベルを監視します。"
ruleEnginePage.wms.guideTabInOutDesc	"タイプ分類、参照番号、リアルタイム監査証跡ロギングで全在庫移動を記録します。"
ruleEnginePage.wms.guideTabInvDesc	"不足在庫アラート、CSVインポート/エクスポート、バーコードスキャンで全倉庫の統合在庫を確認します。"
ruleEnginePage.wms.guideTabRecvDesc	"入庫発注を追跡し、入庫確認すると在庫が自動更新されます。"
ruleEnginePage.wms.guideTabPickDesc	"出庫承認ワークフローでピッキングリストを処理し、梱包伝票を印刷し、処理状況を追跡します。"
ruleEnginePage.wms.guideTabLotDesc	"期限切れ間近の商品の自動アラートでロット番号と消費期限を管理します。"
ruleEnginePage.wms.guideTabReplDesc	"再注文ポイントを自動検出し、安全在庫に基づく推奨数量で発注書を作成します。"
ruleEnginePage.wms.guideTabCombDesc	"コスト最適化と追跡のため複数注文を単一配送に統合します。"
ruleEnginePage.wms.guideTabCarrDesc	"配送業者を登録し、API接続をテストし、国内外の配送パートナーを管理します。"
ruleEnginePage.wms.guideTabTrackDesc	"配送業者APIによるリアルタイム配送追跡とタイムライン可視化。"
