keypath,pattern,action,ko_pass,n_locales_pass,n_locales_placeholder,n_locales_missing,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class
pages.marketingIntel.All,PAT_B,translate,1,1,14,0,전체,PASS,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4,All,P4
pages.marketingIntel.Simulation,PAT_B,translate,1,1,14,0,시뮬레이션,PASS,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4
pages.marketingIntel._,PAT_F,translate,0,0,15,0,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5
pages.marketingIntel.a,PAT_X,translate,0,0,15,0,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5,",",P5
pages.marketingIntel.abGroupA,PAT_X,skip,1,15,0,0,A 그룹,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS
pages.marketingIntel.abGroupB,PAT_X,skip,1,15,0,0,B 그룹,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS
pages.marketingIntel.abPerformance,PAT_X,skip,0,12,0,3,,MISSING,📊 Ad Performance,PASS,,MISSING,,MISSING,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Werbeleistung,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS,📊 Performa Iklan,PASS,📊 Ad Performance,PASS,📊 Ad Performance,PASS
pages.marketingIntel.account,PAT_B,translate,1,5,10,0,계정,PASS,Account,P4,アカウント,PASS,账户,PASS,账户,PASS,Account,P4,Account,P4,Konto,PASS,Account,P4,Account,P4,Account,P4,Account,P4,Account,P4,Account,P4,Account,P4
pages.marketingIntel.accountNo,PAT_X,skip,0,14,0,1,,MISSING,Account No.,PASS,口座番号,PASS,账号,PASS,账号,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS,Account No.,PASS
pages.marketingIntel.acos,PAT_X,skip,1,15,0,0,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS,ACOS,PASS
pages.marketingIntel.action,PAT_X,translate,0,2,12,1,,MISSING,Action,P4,実行動作,PASS,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,実行動作,PASS,Action,P4,Action,P4
pages.marketingIntel.actionLabel,PAT_X,skip,1,15,0,0,액션,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS
pages.marketingIntel.active,PAT_X,translate,0,5,9,1,,MISSING,Active,P4,有効,PASS,有效,PASS,有效,PASS,Active,P4,Active,P4,Active,P4,Active,P4,Active,P4,Active,P4,Active,P4,有効,PASS,● ใช้งาน,PASS,Active,P4
pages.marketingIntel.actualPaid,PAT_X,skip,0,14,0,1,,MISSING,Actual Paid,PASS,実支払額,PASS,实际支付,PASS,实际支付,PASS,Actual Paid,PASS,Actual Paid,PASS,จ่ายจริง,PASS,Actual Paid,PASS,Actual Paid,PASS,Actual Paid,PASS,Actual Paid,PASS,實際支付,PASS,Actual Paid,PASS,Dibayar,PASS
pages.marketingIntel.adAttributedRevenue,PAT_X,skip,0,14,0,1,,MISSING,Ad-attributed Revenue,PASS,広告帰属売上,PASS,广告归因营收,PASS,广告归因营收,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS
pages.marketingIntel.adBody,PAT_X,skip,1,15,0,0,광고 본문,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS
pages.marketingIntel.adCopy,PAT_X,skip,1,15,0,0,광고 카피,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS
pages.marketingIntel.adCreative,PAT_X,skip,0,14,0,1,,MISSING,Ad Creative,PASS,広告素材,PASS,广告素材,PASS,广告素材,PASS,Ad Creative,PASS,Ad Creative,PASS,ชิ้นงานโฆษณา,PASS,Ad Creative,PASS,Ad Creative,PASS,Ad Creative,PASS,Ad Creative,PASS,廣告素材,PASS,Ad Creative,PASS,Materi iklan,PASS
pages.marketingIntel.adCreativeSub,PAT_X,skip,1,15,0,0,광고 크리에이티브 안내,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS
pages.marketingIntel.adCreativeTitle,PAT_X,skip,1,15,0,0,광고 크리에이티브,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS
pages.marketingIntel.adCta,PAT_X,skip,1,15,0,0,광고 CTA,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS
pages.marketingIntel.adCtaLabel,PAT_X,skip,1,15,0,0,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS
pages.marketingIntel.adDownload,PAT_X,skip,1,15,0,0,⬇ 다운로드,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS
pages.marketingIntel.adGenerate,PAT_X,skip,1,15,0,0,광고 생성,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS
pages.marketingIntel.adGenerating,PAT_X,skip,1,15,0,0,광고 생성 중...,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS
pages.marketingIntel.adHashtags,PAT_X,skip,1,15,0,0,광고 해시태그,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS
pages.marketingIntel.adHeadline,PAT_X,skip,1,15,0,0,광고 헤드라인,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS
pages.marketingIntel.adKeyword,PAT_X,skip,1,15,0,0,광고 키워드,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS
pages.marketingIntel.adKeywordPh,PAT_X,skip,1,15,0,0,광고 키워드를 입력해주세요,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS
pages.marketingIntel.adKeywords,PAT_X,skip,1,15,0,0,광고 키워드,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS
pages.marketingIntel.adPerf.channel,PAT_B,translate,1,2,13,0,채널,PASS,Channel,P4,チャネル,PASS,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4
pages.marketingIntel.adPerf.clicks,PAT_X,skip,1,15,0,0,클릭 수,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS
pages.marketingIntel.adPerf.conversions,PAT_B,translate,1,2,13,0,전환,PASS,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,คอนเวอร์ชัน,PASS,Conversions,P4
pages.marketingIntel.adPerf.cpa,PAT_X,skip,1,15,0,0,고객 획득 비용 (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS
pages.marketingIntel.adPerf.date,PAT_X,skip,1,15,0,0,날짜 (기간),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS
pages.marketingIntel.adPerf.impressions,PAT_X,skip,1,15,0,0,총 노출,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS
pages.marketingIntel.adPerf.loading,PAT_X,skip,1,15,0,0,불러오는 중...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS
pages.marketingIntel.adPerf.pageSub,PAT_X,skip,1,15,0,0,커넥터 & 통합 관리,PASS,Connector & integration management,PASS,コネクタ＆統合管理,PASS,连接器与集成管理,PASS,连接器与集成管理,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,การวิเคราะห์ AI แบบบูรณาการ - การจัดการตัวชี้วัดผลการดำเนินงานโฆษณาแบบครบวงจร,PASS,Connector & integration management,PASS
pages.marketingIntel.adPerf.pageTitle,PAT_X,skip,1,15,0,0,🔌 연동 허브,PASS,🔌 Integration Hub,PASS,🔌 連携ハブ,PASS,🔌 集成中心,PASS,🔌 集成中心,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,การตลาดและผลการดำเนินงานโฆษณา (Overview),PASS,🔌 Integration Hub,PASS
pages.marketingIntel.adPerf.roas,PAT_X,skip,1,15,0,0,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS
pages.marketingIntel.adPerf.spend,PAT_X,skip,1,15,0,0,광고비,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS
pages.marketingIntel.adPerf.team,PAT_X,skip,1,15,0,0,팀별 보기,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS
pages.marketingIntel.adPerf.title,PAT_X,skip,1,15,0,0,이메일 마케팅,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS
pages.marketingIntel.adPlatform,PAT_X,skip,1,15,0,0,광고 플랫폼,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS
pages.marketingIntel.adProduct,PAT_X,skip,1,15,0,0,광고 상품,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS
