path,ko_current,ja_value,proposed_ko,source,ns
ruleEnginePage.supplyChain.securityAlert,セキュリティ脅威検知,セキュリティ脅威検知,보안 위협 감지,auto,ruleEnginePage
ruleEnginePage.supplyChain.securityDesc,悪意のある入力が検出され、ブロックされました。,悪意のある入力が検出され、ブロックされました。,악성 입력이 감지되어 차단되었습니다.,top500,ruleEnginePage
ruleEnginePage.supplyChain.cancel,キャンセル,キャンセル,취소,auto,ruleEnginePage
ruleEnginePage.supplyChain.addRule,ルール追加,ルール追加,규칙 추가,top500,ruleEnginePage
ruleEnginePage.supplyChain.ruleName,ルール名,ルール名,규칙명,top500,ruleEnginePage
ruleEnginePage.supplyChain.guideStep9Title,セキュリティ監視,セキュリティ監視,보안 모니터링,top500,ruleEnginePage
ruleEnginePage.wms.securityDesc,悪意のある入力が検出され、ブロックされました。,悪意のある入力が検出され、ブロックされました。,악성 입력이 감지되어 차단되었습니다.,top500,ruleEnginePage
ruleEnginePage.wms.tabSupplierDesc,サプライヤー,サプライヤー,공급업체,top500,ruleEnginePage
ruleEnginePage.wms.tabAudit,棚卸し,棚卸し,재고 조사,top500,ruleEnginePage
ruleEnginePage.wms.tabTrackingDesc,リアルタイム,リアルタイム,실시간,auto,ruleEnginePage
ruleEnginePage.wms.pageSub,コネクタ＆統合管理,コネクタ＆統合管理,커넥터 & 통합 관리,auto,ruleEnginePage
ruleEnginePage.wms.tabGuideDesc,使い方,使い方,사용법,auto,ruleEnginePage
ruleEnginePage.wms.guideStep14Title,棚卸し,棚卸し,재고 조사,top500,ruleEnginePage
ruleEnginePage.wms.guideTabsTitle,タブ説明,タブ説明,탭 설명,auto,ruleEnginePage
ruleEnginePage.wms.ioBulkPreview,プレビュー,プレビュー,미리보기,auto,ruleEnginePage
ruleEnginePage.dash.Attribution,アトリビューション,アトリビューション,어트리뷰션,top500,ruleEnginePage
ruleEnginePage.dash.GraphScore,グラフスコア,グラフスコア,그래프 점수,top500,ruleEnginePage
ruleEnginePage.dash.Marketing,マーケティング,マーケティング,마케팅,auto,ruleEnginePage
