batch,idx,sample_path,ja_value,ns,occurrences,proposed_ko
03,1,crm.aiHub.catalogSync.ihub.secAlert,セキュリティ脅威,crm,1,
03,2,crm.email.pxl.secInputBlocked,セキュリティ：危険な入力がブロックされました,crm,1,
03,3,crm.aiHub.sms.campSegmentPh,セグメントID,crm,1,
03,4,crm.aiHub.journey.selectSegment,セグメントを選択,crm,1,
03,5,crm.aiHub.crm.email.anSegPerf,セグメント別パフォーマンス,crm,1,
03,6,crm.aiHub.journey.triggerTypes.segment_entered,セグメント進入,crm,1,
03,7,crm.email.pxl.sessions,セッション,crm,1,
03,8,crm.aiHub.webPopup.sessionConv,セッションコンバージョン,crm,1,
03,9,crm.email.mr.dedSeller,セラー,crm,1,
03,10,crm.email.mr.kpiSellerActual,セラー実負担:,crm,1,
03,11,crm.email.mr.kpiSellerDedTotal,セラー控除合計,crm,1,
03,12,crm.email.mr.dedSellerBurden,セラー負担,crm,1,
03,13,crm.email.mr.dedColSellerPct,セラー負担%,crm,1,
03,14,crm.email.mr.kpiSellerShare,セラー負担比率,crm,1,
03,15,crm.email.mr.dedSellerShareDesc,セラー負担比率%（例：50＝セラー50%プラットフォーム50%）,crm,1,
03,16,crm.aiHub.catalogSync.ihub.socialMediaLabel,ソーシャルメディア,crm,1,
03,17,crm.email.dt.lineageSummary,ソース接続状況,crm,1,
03,18,crm.aiHub.catalogSync.journey.aiTopicPh,タイトル/イベント/内容を入力,crm,1,
03,19,crm.aiHub.catalogSync.webPopup.titlePh,タイトルを入力,crm,1,
03,20,crm.aiHub.dashGuide.step1Title,タブを選択,crm,1,
03,21,crm.aiHub.dashGuide.step1Desc,タブバーから目的のダッシュボードを選択します。統合概要、マーケティング、チャネルKPI、コマース、売上、インフルエンサー、システムの7種類。,crm,1,
03,22,crm.aiHub.webPopup.step4,タブ切替でもトリガーされます,crm,1,
03,23,crm.aiHub.catalogSync.webPopup.settingTab,タブ切替検出,crm,1,
03,24,crm.aiHub.webPopup.settingTab,タブ切替検知,crm,1,
03,25,crm.aiHub.webPopup.guideTabsTitle,タブ機能,crm,1,
03,26,crm.aiHub.sms.guideCampaignsDesc,ターゲットキャンペーン管理,crm,1,
03,27,crm.aiHub.dashGuide.stepsTitle,ダッシュボード開始6ステップ,crm,1,
03,28,crm.aiHub.catalogSync.recon.tabTickets,チケット対応,crm,1,
03,29,crm.aiHub.catalogSync.recon.ticketCount,チケット数,crm,1,
03,30,crm.aiHub.catalogSync.settlements.searchPlaceholder,チャネル/ID検索...,crm,1,
03,31,crm.email.dt.srcOrdersDesc,チャネルAPIからリアルタイム収集,crm,1,
03,32,crm.email.dt.improveStep3,チャネルAPIキー登録で注文・在庫データをリアルタイム収集,crm,1,
03,33,crm.email.dt.qualityLiveEx2,チャネルAPI注文データ,crm,1,
03,34,crm.aiHub.dashGuide.tip3,チャネルKPIで最も効率的なチャネルを特定しましょう。,crm,1,
03,35,crm.aiHub.catalogSync.reserveDesc,チャネルごとの予約数量を設定します。,crm,1,
03,36,crm.aiHub.catalogSync.registerToChannelAction,チャネルに登録,crm,1,
03,37,crm.aiHub.catalogSync.recon.uploadDesc,チャネルの精算データをJSON配列で貼り付けてください。,crm,1,
03,38,crm.aiHub.catalogSync.ihub.efInfo2,チャネルイベント通知,crm,1,
03,39,crm.email.catalogSync.channelCategory,チャネルカテゴリ,crm,1,
03,40,crm.aiHub.catalogSync.reportBuilder.channelFilter,チャネルフィルター,crm,1,
03,41,crm.aiHub.catalogSync.reportBuilder.tplChannel,チャネルレポート,crm,1,
03,42,crm.email.settlements.searchPlaceholder,チャネル・注文番号検索,crm,1,
03,43,crm.aiHub.catalogSync.devHub.epBudget,チャネル予算状況,crm,1,
03,44,crm.aiHub.dashGuide.tabChannel,チャネル別KPIとコンバージョン率を比較します。,crm,1,
03,45,crm.email.settlements.channelNetTitle,チャネル別Net Payout,crm,1,
03,46,crm.aiHub.catalogSync.reportBuilder.tplChannelDesc,チャネル別のパフォーマンス、手数料、ROASを比較分析します。,crm,1,
03,47,crm.aiHub.catalogSync.pnl.unitPnlDesc,チャネル別の単位損益を分析します。連携ハブでAPIキーを登録すると手数料が自動反映されます。,crm,1,
03,48,crm.aiHub.catalogSync.pnl.guideSecUnit,チャネル別の売上、広告費、手数料、純利益をテーブルで比較分析します。,crm,1,
03,49,crm.email.catalogSync.commissionAutoApplyDesc,チャネル別の販売手数料率と税金はCHANNEL_RATESポリシーから自動適用されます。手動での変更も可能です。,crm,1,
03,50,crm.email.pxl.channelAttr,チャネル別アトリビューション,crm,1,
03,51,crm.aiHub.contentCal.guideAiDesc,チャネル別パフォーマンス分析とAIインサイト,crm,1,
03,52,crm.aiHub.catalogSync.channelMarkup,チャネル別マークアップ,crm,1,
03,53,crm.aiHub.guideUgcDesc,チャネル別レビュー感情分析·ネガティブキーワード追跡·自動CS通知,crm,1,
03,54,crm.aiHub.catalogSync.reviews.channelRatingTitle,チャネル別レビュー評価,crm,1,
03,55,crm.aiHub.catalogSync.pnl.descUnitPnl,チャネル別・商品別損益分析,crm,1,
03,56,crm.aiHub.catalogSync.reviews.kpiAvgRatingSub2,チャネル別加重平均,crm,1,
03,57,crm.aiHub.catalogSync.settlements.pageDesc,チャネル別売上・手数料・精算金を統合管理・分析します。,crm,1,
03,58,crm.aiHub.catalogSync.reportBuilder.guideWidgetPie,チャネル別売上比率をパイチャートで表示します。,crm,1,
03,59,crm.aiHub.catalogSync.commissionAutoApplyDesc,チャネル別手数料と税金はCHANNEL_RATES設定から自動適用されます。手動で修正も可能です。,crm,1,
03,60,crm.aiHub.catalogSync.reportBuilder.guideWidgetFee,チャネル別手数料率を比較します。,crm,1,
03,61,crm.aiHub.catalogSync.channelPriceRecommendTitle,チャネル別推奨販売価格,crm,1,
