ko_value,count,path,ja_value,en_value,suggested_ko
Advanced Analytics & BI,1,pages.pricingDetail.pro_s9,Advanced Analytics & BI,Advanced Analytics & BI,고급 분석·BI
P&L by Channel·Product·Trend,1,pages.pricingDetail.pro_s9i2,P&L by Channel·Product·Trend,P&L by Channel·Product·Trend,채널·상품·트렌드별 P&L
Anomaly Detection·Competitor AI Analysis,1,pages.pricingDetail.pro_s9i3,Anomaly Detection·Competitor AI Analysis,Anomaly Detection·Competitor AI Analysis,이상 징후 감지·경쟁사 AI 분석
Influencer Performance View,1,pages.pricingDetail.pro_s9i4,Influencer Performance View,Influencer Performance View,인플루언서 성과 보기
Pro_tagline,1,pages.pricingDetail.pro_tagline,Pro_tagline,Pro_tagline,프로 플랜 태그라인
Ad spend deduction,1,pages.reconciliation.adFeeCharged,Ad spend deduction,Ad spend deduction,광고비 차감
Ad Fee Rate,1,pages.reconciliation.adFeeRate,Ad Fee Rate,Ad Fee Rate,광고 수수료율
Click a report for details,1,pages.reconciliation.clickReport,Click a report for details,Click a report for details,상세 내용은 리포트를 클릭해주세요
Effective from:,1,pages.reconciliation.effectiveFrom,Effective from:,Effective from:,적용 시작일:
Fee Rules Title,1,pages.reconciliation.feeRulesTitle,Fee Rules Title,Fee Rules Title,수수료 규칙
Mismatch Tickets,1,pages.reconciliation.mismatchTickets,Mismatch Tickets,Mismatch Tickets,불일치 티켓
Net Difference,1,pages.reconciliation.netDiffLabel,Net Difference,Net Difference,순차액
P&L auto-updates on settlement changes,1,pages.reconciliation.pnlAutoUpdate,P&L auto-updates on settlement changes,P&L auto-updates on settlement changes,정산 변경 시 P&L이 자동 업데이트됩니다.
🔴 Real-time P&L Operating Profit,1,pages.reconciliation.realtimePnl,🔴 Real-time P&L Operating Profit,🔴 Real-time P&L Operating Profit,🔴 실시간 P&L 영업이익
Recon Desc,1,pages.reconciliation.reconDesc,Recon Desc,Recon Desc,정산 대조 안내
Report Detail,1,pages.reconciliation.reportDetail,Report Detail,Report Detail,리포트 상세
