ns,path,ko_value,suggested_ko
_marketing_1,_marketing_1.sc_tiktok_shop,TikTok Shop,TikTok Shop
actualPaid,actualPaid,Actual Paid,실제 지급액
adCreative,adCreative,Ad Creative,광고 크리에이티브
adReady,adReady,Ad Ready,광고 집행 준비 완료
attr,attr.anomalySummary,📊 Anomaly Detection Summary,📊 이상 징후 감지 요약
attr,attr.expectedBlendRoas,Expected Blended ROAS,예상 Blended ROAS
attr,attr.expectedRev,Expected Revenue,예상 매출
attr,attr.modelCompareTable,📋 Channel Contribution by Model (%),📋 모델별 채널 기여도(%)
attr,attr.radarCompare,🕸️ Channel Contribution Radar,🕸️ 채널 기여도 레이더
attrData,attrData.cases, items,건
attrData,attrData.guideLtvName,💰 LTV vs CAC,💰 LTV vs CAC
attrData,attrData.tabLtvLabel,LTV vs CAC,LTV vs CAC
audit,audit.copyLink,Copy Link,링크 복사
audit,audit.deselectAll,Deselect All,전체 선택 해제
audit,audit.pageOf,{page} / {total},{page} / {total}
audit,audit.selectAll,Select All,전체 선택
banner,banner.acctPerf.desc,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,동일한 상품과 채널의 캠페인 성과를 지역 팀이나 하위 계정별로 비교합니다.
banner,banner.acctPerf.team,Team / Account,팀 / 계정
catalogSync,catalogSync.ihub.dwFeatureUnity,Unity Catalog,Unity Catalog
catalogSync,catalogSync.ihub.scTitle,SmartConnect AI,SmartConnect AI
catalogSync,catalogSync.ihub.tabSmartConnect,Smart Connect,Smart Connect
catalogSync,catalogSync.webPopup.linkUrlPh,https://example.com/promo,https://example.com/promo
channelKpi,channelKpi.blendedROAS,Blended ROAS,Blended ROAS
checkRights,checkRights,Check Rights,권한 확인
commerce,commerce.top5Sku,TOP 5 SKU,TOP 5 SKU
commerce,commerce.topSku,TOP SKU,TOP SKU
common,common.underConstruction,CampaignEnterpriseTabs,캠페인 엔터프라이즈 탭
creativeStudio,creativeStudio.ctaHint,👆 CTA,👆 CTA
crm,crm.aiHub.addBudget,Add Budget,예산 추가
crm,crm.aiHub.adSaving,Ad Saving,광고비 절감
crm,crm.aiHub.aiHub.addBudget,Add Budget,예산 추가
crm,crm.aiHub.aiHub.adSaving,Ad Saving,광고비 절감
crm,crm.aiHub.aiHub.approveAll,Approve All,전체 승인
crm,crm.aiHub.aiHub.attribution,Attribution,어트리뷰션
crm,crm.aiHub.aiHub.attributionDesc,Attribution,어트리뷰션
crm,crm.aiHub.aiHub.attributionLink,Attribution Link,어트리뷰션 링크
crm,crm.aiHub.aiHub.autoExec,Auto Exec,자동 실행
crm,crm.aiHub.aiHub.autoRegistered,Auto Registered,자동 등록됨
crm,crm.aiHub.aiHub.boostReason,Boost Reason,부스트 사유
crm,crm.aiHub.aiHub.budgetShift,Budget Shift,예산 재배분
