ns,path,pollution_type,ko_value,ja_value,en_value,ko_length,suggested_ko
_marketing_1,_marketing_1.sc_tiktok_shop,LATIN_LONG,TikTok Shop,,TikTok Shop,11,
actualPaid,actualPaid,LATIN_LONG,Actual Paid,,Actual Paid,11,
adCreative,adCreative,LATIN_LONG,Ad Creative,,Ad Creative,11,
adReady,adReady,LATIN_LONG,Ad Ready,,Ad Ready,8,
attr,attr.anomalySummary,LATIN_LONG,📊 Anomaly Detection Summary,📊 Anomaly Detection Summary,📊 Anomaly Detection Summary,28,
attr,attr.expectedBlendRoas,LATIN_LONG,Expected Blended ROAS,Expected Blended ROAS,Expected Blended ROAS,21,
attr,attr.expectedRev,LATIN_LONG,Expected Revenue,Expected Revenue,Expected Revenue,16,
attr,attr.modelCompareTable,LATIN_LONG,📋 Channel Contribution by Model (%),📋 Channel Contribution by Model (%),📋 Channel Contribution by Model (%),36,
attr,attr.radarCompare,LATIN_LONG,🕸️ Channel Contribution Radar,🕸️ Channel Contribution Radar,🕸️ Channel Contribution Radar,30,
attrData,attrData.cases,LATIN_LONG, items, items, items,6,
attrData,attrData.guideLtvName,LATIN_LONG,💰 LTV vs CAC,,,13,
attrData,attrData.tabLtvLabel,LATIN_LONG,LTV vs CAC,LTV,LTV,10,
audit,audit.copyLink,LATIN_LONG,Copy Link,Copy Link,Copy Link,9,
audit,audit.deselectAll,LATIN_LONG,Deselect All,Deselect All,Deselect All,12,
audit,audit.pageOf,LATIN_LONG,{page} / {total},{page} / {total},{page} / {total},16,
audit,audit.selectAll,LATIN_LONG,Select All,Select All,Select All,10,
banner,banner.acctPerf.desc,LATIN_LONG,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,Compare campaign performance of the exact same product and channel across different regional teams or sub-accounts.,115,
banner,banner.acctPerf.team,LATIN_LONG,Team / Account,Team / Account,Team / Account,14,
catalogSync,catalogSync.ihub.dwFeatureUnity,LATIN_LONG,Unity Catalog,,,13,
catalogSync,catalogSync.ihub.scTitle,LATIN_LONG,SmartConnect AI,,,15,
catalogSync,catalogSync.ihub.tabSmartConnect,LATIN_LONG,Smart Connect,,,13,
catalogSync,catalogSync.webPopup.linkUrlPh,LATIN_LONG,https://example.com/promo,,,25,
checkRights,checkRights,LATIN_LONG,Check Rights,,Check Rights,12,
commerce,commerce.top5Sku,LATIN_LONG,TOP 5 SKU,TOP 5 SKU,TOP 5 SKU,9,
commerce,commerce.topSku,LATIN_LONG,TOP SKU,TOP SKU,TOP SKU,7,
common,common.underConstruction,LATIN_LONG,CampaignEnterpriseTabs,,,22,
creativeStudio,creativeStudio.ctaHint,LATIN_LONG,👆 CTA,👆 CTA:,👆 CTA:,6,
crm,crm.aiHub.addBudget,LATIN_LONG,Add Budget,Add Budget,Add Budget,10,
crm,crm.aiHub.adSaving,LATIN_LONG,Ad Saving,Ad Saving,Ad Saving,9,
crm,crm.aiHub.aiHub.addBudget,LATIN_LONG,Add Budget,Add Budget,Add Budget,10,
crm,crm.aiHub.aiHub.adSaving,LATIN_LONG,Ad Saving,Ad Saving,Ad Saving,9,
crm,crm.aiHub.aiHub.approveAll,LATIN_LONG,Approve All,Approve All,Approve All,11,
crm,crm.aiHub.aiHub.attributionLink,LATIN_LONG,Attribution Link,Attribution Link,Attribution Link,16,
crm,crm.aiHub.aiHub.autoExec,LATIN_LONG,Auto Exec,Auto Exec,Auto Exec,9,
crm,crm.aiHub.aiHub.autoRegistered,LATIN_LONG,Auto Registered,Auto Registered,Auto Registered,15,
crm,crm.aiHub.aiHub.boostReason,LATIN_LONG,Boost Reason,Boost Reason,Boost Reason,12,
crm,crm.aiHub.aiHub.budgetShift,LATIN_LONG,Budget Shift,Budget Shift,Budget Shift,12,
crm,crm.aiHub.aiHub.bulkApproved,LATIN_LONG,Bulk Approved,Bulk Approved,Bulk Approved,13,
crm,crm.aiHub.aiHub.bulkExec,LATIN_LONG,Bulk Exec,Bulk Exec,Bulk Exec,9,
crm,crm.aiHub.aiHub.campaignStatus,LATIN_LONG,Campaign Status,Campaign Status,Campaign Status,15,
crm,crm.aiHub.aiHub.cardLimitAlert,LATIN_LONG,Card Limit Alert,Card Limit Alert,Card Limit Alert,16,
crm,crm.aiHub.aiHub.cardsUnit,LATIN_LONG,Cards Unit,Cards Unit,Cards Unit,10,
crm,crm.aiHub.aiHub.catBudgetOpt,LATIN_LONG,Cat Budget Opt,Cat Budget Opt,Cat Budget Opt,14,
crm,crm.aiHub.aiHub.catCrmRetarget,LATIN_LONG,Cat Crm Retarget,Cat Crm Retarget,Cat Crm Retarget,16,
crm,crm.aiHub.aiHub.catInventoryRisk,LATIN_LONG,Cat Inventory Risk,Cat Inventory Risk,Cat Inventory Risk,18,
crm,crm.aiHub.aiHub.catSettlement,LATIN_LONG,Cat Settlement,Cat Settlement,Cat Settlement,14,
crm,crm.aiHub.aiHub.checkInCampaignMgr,LATIN_LONG,Check In Campaign Mgr,Check In Campaign Mgr,Check In Campaign Mgr,21,
crm,crm.aiHub.aiHub.countUnit,LATIN_LONG,Count Unit,Count Unit,Count Unit,10,
crm,crm.aiHub.aiHub.currentCharged,LATIN_LONG,Current Charged,Current Charged,Current Charged,15,
crm,crm.aiHub.aiHub.dailySales,LATIN_LONG,Daily Sales,Daily Sales,Daily Sales,11,
crm,crm.aiHub.aiHub.dpAddBudget,LATIN_LONG,Dp Add Budget,Dp Add Budget,Dp Add Budget,13,
crm,crm.aiHub.aiHub.dpAdRoi,LATIN_LONG,Dp Ad Roi,Dp Ad Roi,Dp Ad Roi,9,
crm,crm.aiHub.aiHub.dpAdSaving,LATIN_LONG,Dp Ad Saving,Dp Ad Saving,Dp Ad Saving,12,
crm,crm.aiHub.aiHub.dpEstRoas,LATIN_LONG,Dp Est Roas,Dp Est Roas,Dp Est Roas,11,
crm,crm.aiHub.aiHub.dpExpectedProfit,LATIN_LONG,Dp Expected Profit,Dp Expected Profit,Dp Expected Profit,18,
crm,crm.aiHub.aiHub.dpExpireIn,LATIN_LONG,Dp Expire In,Dp Expire In,Dp Expire In,12,
crm,crm.aiHub.aiHub.dpSettlementMargin,LATIN_LONG,Dp Settlement Margin,Dp Settlement Margin,Dp Settlement Margin,20,
crm,crm.aiHub.aiHub.dpShiftBudget,LATIN_LONG,Dp Shift Budget,Dp Shift Budget,Dp Shift Budget,15,
crm,crm.aiHub.aiHub.dpVipCount,LATIN_LONG,Dp Vip Count,Dp Vip Count,Dp Vip Count,12,
crm,crm.aiHub.aiHub.dsActiveRules,LATIN_LONG,Ds Active Rules,Ds Active Rules,Ds Active Rules,15,
crm,crm.aiHub.aiHub.dsRulesFired,LATIN_LONG,Ds Rules Fired,Ds Rules Fired,Ds Rules Fired,14,
crm,crm.aiHub.aiHub.estRoas,LATIN_LONG,Est Roas,Est Roas,Est Roas,8,
crm,crm.aiHub.aiHub.execBudget,LATIN_LONG,Exec Budget,Exec Budget,Exec Budget,11,
crm,crm.aiHub.aiHub.execLog,LATIN_LONG,Exec Log,Exec Log,Exec Log,8,
