ko_value,count,path,ja_value,en_value,suggested_ko
days,8,crm.aiHub.reviews.days,days,days,일
No Data Available,8,crm.aiHub.reviews.noData,No Data Available,No Data Available,데이터 없음
No execution history,8,crm.aiHub.reviews.noHistory,No execution history,No execution history,실행 이력 없음
Tab Roles,8,crm.aiHub.reviews.tabRoles,Tab Roles,Tab Roles,역할 탭
Unit Price,7,crm.aiHub.aiHub.unitPrice,Unit Price,Unit Price,단가
AI Analysis History,7,crm.aiHub.reviews.aiHistoryList,AI Analysis History,AI Analysis History,AI 분석 이력
AI Analysis Summary,7,crm.aiHub.reviews.aiSummary,AI Analysis Summary,AI Analysis Summary,AI 분석 요약
Avg Time,7,crm.aiHub.reviews.avgTime,Avg Time,Avg Time,평균 시간
Biz Goal Setting,7,crm.aiHub.reviews.bizGoalSetting,Biz Goal Setting,Biz Goal Setting,비즈니스 목표 설정
Brand Awareness Desc,7,crm.aiHub.reviews.brandAwarenessDesc,Brand Awareness Desc,Brand Awareness Desc,브랜드 인지도 안내
Channel Role Definition,7,crm.aiHub.reviews.channelRoleDef,Channel Role Definition,Channel Role Definition,채널 역할 정의
Key Action Items,7,crm.aiHub.reviews.checklist,Key Action Items,Key Action Items,핵심 액션 아이템
Cost vs Performance Check,7,crm.aiHub.reviews.chkCostPerf,Cost vs Performance Check,Cost vs Performance Check,비용 대비 성과 점검
Campaign Efficiency Check,7,crm.aiHub.reviews.chkEff,Campaign Efficiency Check,Campaign Efficiency Check,캠페인 효율 점검
Identify Items for Improvement,7,crm.aiHub.reviews.chkImprove,Identify Items for Improvement,Identify Items for Improvement,개선 항목 파악
Claude Ai Desc,7,crm.aiHub.reviews.claudeAiDesc,Claude Ai Desc,Claude Ai Desc,Claude AI 안내
Claude Ai Title,7,crm.aiHub.reviews.claudeAiTitle,Claude Ai Title,Claude Ai Title,Claude AI 제목
Click Select,7,crm.aiHub.reviews.clickSelect,Click Select,Click Select,클릭하여 선택
Community Act,7,crm.aiHub.reviews.communityAct,Community Act,Community Act,커뮤니티 활동
Community Growth,7,crm.aiHub.reviews.communityGrowth,Community Growth,Community Growth,커뮤니티 성장
Community Kpi,7,crm.aiHub.reviews.communityKpi,Community Kpi,Community Kpi,커뮤니티 KPI
Content Engage,7,crm.aiHub.reviews.contentEngage,Content Engage,Content Engage,콘텐츠 참여
Content Impressions,7,crm.aiHub.reviews.contentImpressions,Content Impressions,Content Impressions,콘텐츠 노출 수
Content Interest,7,crm.aiHub.reviews.contentInterest,Content Interest,Content Interest,콘텐츠 관심도
Content Kpi,7,crm.aiHub.reviews.contentKpi,Content Kpi,Content Kpi,콘텐츠 KPI
Large-scale brand exposure through SNS platform ads,7,crm.aiHub.reviews.descBrandReach,Large-scale brand exposure through SNS platform ads,Large-scale brand exposure through SNS platform ads,SNS 플랫폼 광고를 통한 대규모 브랜드 노출
Target users with high purchase intent via search algorithms,7,crm.aiHub.reviews.descCaptureIntent,Target users with high purchase intent via search algorithms,Target users with high purchase intent via search algorithms,검색 알고리즘을 활용한 구매 의도 높은 사용자 타겟팅
Conversion Rate vs Target,7,crm.aiHub.reviews.descConvRate,Conversion Rate vs Target,Conversion Rate vs Target,목표 대비 전환율
Desc Cpa,7,crm.aiHub.reviews.descCpa,Desc Cpa,Desc Cpa,CPA 안내
Desc Cpc,7,crm.aiHub.reviews.descCpc,Desc Cpc,Desc Cpc,CPC 안내
Desc Ctr,7,crm.aiHub.reviews.descCtr,Desc Ctr,Desc Ctr,CTR 안내
Secure customer loyalty through community activities,7,crm.aiHub.reviews.descCustRel,Secure customer loyalty through community activities,Secure customer loyalty through community activities,커뮤니티 활동을 통한 고객 충성도 확보
Build expertise and trust through problem-solving content,7,crm.aiHub.reviews.descInfoTrust,Build expertise and trust through problem-solving content,Build expertise and trust through problem-solving content,문제 해결 콘텐츠를 통한 전문성과 신뢰 구축
Desc Roas,7,crm.aiHub.reviews.descRoas,Desc Roas,Desc Roas,ROAS 안내
Hint Conv Rate,7,crm.aiHub.reviews.hintConvRate,Hint Conv Rate,Hint Conv Rate,전환율 도움말
Hint Cpa,7,crm.aiHub.reviews.hintCpa,Hint Cpa,Hint Cpa,CPA 도움말
Hint Cpc,7,crm.aiHub.reviews.hintCpc,Hint Cpc,Hint Cpc,CPC 도움말
